Varies per block?       ,    3,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,S1                                                     
   1,   1,   1,  1.1904                                               
   2,   1,   1,  3.2256                                               
   3,   1,   1,  2.6784                                               
   4,   1,   1,  2.3040                                               
   5,   1,   1,  2.0832                                               
   6,   1,   1,  2.3040                                               
   7,   1,   1,  2.4850                                               
   8,   1,   1,  1.5922                                               
   9,   1,   1,  1.6272                                               
  10,   1,   1,  2.7826                                               
  11,   1,   1,  1.4400                                               
  12,   1,   1,  2.4850                                               
