Varies per block?       ,    0,Unit    ,k$     ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    3                                        
Stag,Seq.,Blck,P10         ,Average     ,P90                          
   1,   1,   1,      176.81,      176.81,      176.81                 
   2,   1,   1,      154.54,      154.54,      154.54                 
   3,   1,   1,      173.24,      173.24,      173.24                 
   4,   1,   1,      168.34,      168.34,      168.34                 
   5,   1,   1,      174.67,      174.67,      174.67                 
   6,   1,   1,      168.34,      168.34,      168.34                 
   7,   1,   1,      173.71,      173.71,      173.71                 
   8,   1,   1,      175.85,      175.85,      175.85                 
   9,   1,   1,      169.97,      169.97,      169.97                 
  10,   1,   1,      172.99,      172.99,      172.99                 
  11,   1,   1,      170.42,      170.42,      170.42                 
  12,   1,   1,      173.71,      173.71,      173.71                 
