Varies per block?       ,    0,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    3                                        
Stag,Seq.,Blck,P10         ,Average     ,P90                          
   1,   1,   1,      1.1904,      1.1904,      1.1904                 
   2,   1,   1,      3.2256,      3.2256,      3.2256                 
   3,   1,   1,      2.6784,      2.6784,      2.6784                 
   4,   1,   1,       2.304,       2.304,       2.304                 
   5,   1,   1,      2.0832,      2.0832,      2.0832                 
   6,   1,   1,       2.304,       2.304,       2.304                 
   7,   1,   1,       2.485,       2.485,       2.485                 
   8,   1,   1,      1.5922,      1.5922,      1.5922                 
   9,   1,   1,      1.6272,      1.6272,      1.6272                 
  10,   1,   1,      2.7826,      2.7826,      2.7826                 
  11,   1,   1,        1.44,        1.44,        1.44                 
  12,   1,   1,       2.485,       2.485,       2.485                 
