 Generation (GWh) - S1          
                                                                                                                                                      
 Year,Plant,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total

2016,H1          ,0.23808,0.64512,0.53568, 0.4608,0.41664, 0.4608,.496992,0.31843,0.32544,.556512,  0.288,.496992,  5.239486
    ,H2          ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.                                                                                                                                                      

    ,Fuel1       ,17.9361,16.2004,17.9361,17.3576,17.9361,17.3576,17.9361,17.9361,17.3576,17.9361,17.3576,17.9361,  211.1835
    ,Fuel2       ,2.77698,2.07816,2.47938,  2.457,2.59843,  2.457,2.51807,2.69663,2.59236,2.45855, 2.6298,2.51807,  30.26042                                                                                                                                                      

    ,Total Hydro ,0.23808,0.64512,0.53568, 0.4608,0.41664, 0.4608,.496992,0.31843,0.32544,.556512,  0.288,.496992,  5.239486
    ,Total Therm ,20.7131,18.2785,20.4155,19.8146,20.5346,19.8146,20.4542,20.6328,19.9499,20.3947,19.9874,20.4542,  241.4439
    ,Total Renew ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Batt. ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Inject,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Gener ,20.9512,18.9237,20.9512,20.2754,20.9512,20.2754,20.9512,20.9512,20.2754,20.9512,20.2754,20.9512,  246.6834
    ,Excess Gener,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Imports     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Exports     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Losses      ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Load        ,20.9511,18.9237,20.9511,20.2754,20.9511,20.2754,20.9511,20.9511,20.2754,20.9511,20.2754,20.9511,  246.6832
    ,Spot Market ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Deficit     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.                                                                                                                                                      
