 Generation (GWh) - Total
 
Stage,Total Hydro,Total Therm.,Total Renew,Total Batt,Total Inject,Deficit
"2016/01",        0.24,       20.71,        0.00,        0.00,        0.00,        0.00
"2016/02",        0.65,       18.28,        0.00,        0.00,        0.00,        0.00
"2016/03",        0.54,       20.42,        0.00,        0.00,        0.00,        0.00
"2016/04",        0.46,       19.81,        0.00,        0.00,        0.00,        0.00
"2016/05",        0.42,       20.53,        0.00,        0.00,        0.00,        0.00
"2016/06",        0.46,       19.81,        0.00,        0.00,        0.00,        0.00
"2016/07",        0.50,       20.45,        0.00,        0.00,        0.00,        0.00
"2016/08",        0.32,       20.63,        0.00,        0.00,        0.00,        0.00
"2016/09",        0.33,       19.95,        0.00,        0.00,        0.00,        0.00
"2016/10",        0.56,       20.39,        0.00,        0.00,        0.00,        0.00
"2016/11",        0.29,       19.99,        0.00,        0.00,        0.00,        0.00
"2016/12",        0.50,       20.45,        0.00,        0.00,        0.00,        0.00
