Varies per block?       ,    2,Unit    ,$/MWh  ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    3                                        
Stag,Seq.,Blck,B1          ,B2          ,B3                           
   1,   1,   1,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,   2,  9.4545    ,  9.4545    ,  9.4545                     
   1,   1,   3,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,   4,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,   5,  9.4545    ,  9.4545    ,  9.4545                     
   1,   1,   6,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,   7,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,   8,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,   9,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,  10,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,  11,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,  12,  9.4545    ,  9.4545    ,  9.4545                     
   1,   1,  13,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,  14,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,  15,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,  16,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,  17,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,  18,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,  19,  9.4545    ,  9.4545    ,  9.4545                     
   1,   1,  20,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,  21,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,  22,  9.4545    ,  9.4545    ,  9.4545                     
   1,   1,  23,  9.7500    ,  9.7500    ,  9.7500                     
   1,   1,  24,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,   1,  9.4545    ,  9.4545    ,  9.4545                     
   2,   1,   2,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,   3,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,   4,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,   5,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,   6,  9.4545    ,  9.4545    ,  9.4545                     
   2,   1,   7,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,   8,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,   9,  9.4545    ,  9.4545    ,  9.4545                     
   2,   1,  10,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,  11,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,  12,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,  13,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,  14,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,  15,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,  16,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,  17,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,  18,  9.4545    ,  9.4545    ,  9.4545                     
   2,   1,  19,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,  20,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,  21,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,  22,  9.7500    ,  9.7500    ,  9.7500                     
   2,   1,  23,  9.4545    ,  9.4545    ,  9.4545                     
   2,   1,  24,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,   1,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,   2,  9.4545    ,  9.4545    ,  9.4545                     
   3,   1,   3,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,   4,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,   5,  9.4545    ,  9.4545    ,  9.4545                     
   3,   1,   6,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,   7,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,   8,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,   9,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,  10,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,  11,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,  12,  9.4545    ,  9.4545    ,  9.4545                     
   3,   1,  13,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,  14,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,  15,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,  16,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,  17,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,  18,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,  19,  9.4545    ,  9.4545    ,  9.4545                     
   3,   1,  20,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,  21,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,  22,  9.4545    ,  9.4545    ,  9.4545                     
   3,   1,  23,  9.7500    ,  9.7500    ,  9.7500                     
   3,   1,  24,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,   1,  9.4545    ,  9.4545    ,  9.4545                     
   4,   1,   2,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,   3,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,   4,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,   5,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,   6,  9.4545    ,  9.4545    ,  9.4545                     
   4,   1,   7,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,   8,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,   9,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,  10,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,  11,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,  12,  9.4545    ,  9.4545    ,  9.4545                     
   4,   1,  13,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,  14,  9.4545    ,  9.4545    ,  9.4545                     
   4,   1,  15,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,  16,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,  17,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,  18,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,  19,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,  20,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,  21,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,  22,  9.7500    ,  9.7500    ,  9.7500                     
   4,   1,  23,  9.4545    ,  9.4545    ,  9.4545                     
   4,   1,  24,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,   1,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,   2,  9.4545    ,  9.4545    ,  9.4545                     
   5,   1,   3,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,   4,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,   5,  9.4545    ,  9.4545    ,  9.4545                     
   5,   1,   6,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,   7,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,   8,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,   9,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,  10,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,  11,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,  12,  9.4545    ,  9.4545    ,  9.4545                     
   5,   1,  13,  9.7500    ,  9.7500    ,  9.7500                     
   5,   1,  14,  9.7500    ,  9.7500    ,  9.7500                     
