Varies per block?       ,    1,Unit    ,k$     ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,T1          ,T2                                        
   1,   1,   1,  5.0868    ,  4.2813                                  
   1,   1,   2,  3.6689    ,  2.7197                                  
   1,   1,   3,  4.5818    ,  3.6921                                  
   1,   1,   4,  4.2344    ,  3.2869                                  
   1,   1,   5,  3.3920    ,  2.4823                                  
   1,   1,   6,  4.8148    ,  3.9639                                  
   1,   1,   7,  4.0224    ,  3.0395                                  
   1,   1,   8,  5.2758    ,  4.5018                                  
   1,   1,   9,  5.0359    ,  4.2219                                  
   1,   1,  10,  4.1549    ,  3.1941                                  
   1,   1,  11,  4.8887    ,  4.0501                                  
   1,   1,  12,  3.4780    ,  2.5560                                  
   1,   1,  13,  5.1614    ,  4.3683                                  
   1,   1,  14,  4.9661    ,  4.1405                                  
   1,   1,  15,  5.0010    ,  4.1812                                  
   1,   1,  16,  4.5623    ,  3.6693                                  
   1,   1,  17,  4.7248    ,  3.8589                                  
   1,   1,  18,  5.1286    ,  4.3301                                  
   1,   1,  19,  3.4196    ,  2.5059                                  
   1,   1,  20,  5.0575    ,  4.2471                                  
   1,   1,  21,  4.7387    ,  3.8752                                  
   1,   1,  22,  3.3872    ,  2.4782                                  
   1,   1,  23,  5.0498    ,  4.2381                                  
   1,   1,  24,  5.0394    ,  4.2259                                  
   2,   1,   1,  3.1414    ,  2.3086                                  
   2,   1,   2,  4.4855    ,  3.7398                                  
   2,   1,   3,  3.6331    ,  2.7453                                  
   2,   1,   4,  4.5517    ,  3.8170                                  
   2,   1,   5,  4.2801    ,  3.5002                                  
   2,   1,   6,  3.3139    ,  2.4565                                  
   2,   1,   7,  4.6619    ,  3.9456                                  
   2,   1,   8,  4.1384    ,  3.3348                                  
   2,   1,   9,  3.0637    ,  2.2420                                  
   2,   1,  10,  4.3488    ,  3.5803                                  
   2,   1,  11,  3.8247    ,  2.9688                                  
   2,   1,  12,  4.5945    ,  3.8669                                  
   2,   1,  13,  4.7653    ,  4.0661                                  
   2,   1,  14,  3.7528    ,  2.8850                                  
   2,   1,  15,  4.5170    ,  3.7765                                  
   2,   1,  16,  4.4156    ,  3.6582                                  
   2,   1,  17,  4.6323    ,  3.9110                                  
   2,   1,  18,  3.0887    ,  2.2634                                  
   2,   1,  19,  4.2675    ,  3.4855                                  
   2,   1,  20,  4.5611    ,  3.8280                                  
   2,   1,  21,  4.1208    ,  3.3142                                  
   2,   1,  22,  4.5681    ,  3.8361                                  
   2,   1,  23,  3.0594    ,  2.2384                                  
   2,   1,  24,  4.5485    ,  3.8133                                  
   3,   1,   1,  5.0868    ,  4.2813                                  
   3,   1,   2,  3.6689    ,  2.7197                                  
   3,   1,   3,  4.5818    ,  3.6921                                  
   3,   1,   4,  4.2344    ,  3.2869                                  
   3,   1,   5,  3.3920    ,  2.4823                                  
   3,   1,   6,  4.8148    ,  3.9639                                  
   3,   1,   7,  4.0224    ,  3.0395                                  
   3,   1,   8,  5.2758    ,  4.5018                                  
   3,   1,   9,  5.0359    ,  4.2219                                  
   3,   1,  10,  4.1549    ,  3.1941                                  
   3,   1,  11,  4.8887    ,  4.0501                                  
   3,   1,  12,  3.4780    ,  2.5560                                  
   3,   1,  13,  5.1614    ,  4.3683                                  
   3,   1,  14,  4.9661    ,  4.1405                                  
   3,   1,  15,  5.0010    ,  4.1812                                  
   3,   1,  16,  4.5623    ,  3.6693                                  
   3,   1,  17,  4.7248    ,  3.8589                                  
   3,   1,  18,  5.1286    ,  4.3301                                  
   3,   1,  19,  3.4196    ,  2.5059                                  
   3,   1,  20,  5.0575    ,  4.2471                                  
   3,   1,  21,  4.7387    ,  3.8752                                  
   3,   1,  22,  3.3872    ,  2.4782                                  
   3,   1,  23,  5.0498    ,  4.2381                                  
   3,   1,  24,  5.0394    ,  4.2259                                  
   4,   1,   1,  3.2780    ,  2.3983                                  
   4,   1,   2,  5.1056    ,  4.3566                                  
   4,   1,   3,  4.5859    ,  3.7502                                  
   4,   1,   4,  4.0978    ,  3.1808                                  
   4,   1,   5,  4.8397    ,  4.0463                                  
   4,   1,   6,  3.5506    ,  2.6319                                  
   4,   1,   7,  4.4340    ,  3.5730                                  
   4,   1,   8,  4.9949    ,  4.2274                                  
   4,   1,   9,  3.8926    ,  2.9414                                  
   4,   1,  10,  4.9227    ,  4.1431                                  
   4,   1,  11,  4.6595    ,  3.8360                                  
   4,   1,  12,  3.3658    ,  2.4735                                  
   4,   1,  13,  4.0209    ,  3.0910                                  
   4,   1,  14,  3.3093    ,  2.4251                                  
   4,   1,  15,  4.8944    ,  4.1101                                  
   4,   1,  16,  4.8059    ,  4.0069                                  
