Varies per block?       ,    1,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,T1          ,T2                                        
   1,   1,   1, 0.63585    , 0.35677                                  
   1,   1,   2, 0.45862    , 0.22664                                  
   1,   1,   3, 0.57272    , 0.30768                                  
   1,   1,   4, 0.52931    , 0.27390                                  
   1,   1,   5, 0.42400    , 0.20685                                  
   1,   1,   6, 0.60185    , 0.33032                                  
   1,   1,   7, 0.50280    , 0.25329                                  
   1,   1,   8, 0.65948    , 0.37515                                  
   1,   1,   9, 0.62948    , 0.35182                                  
   1,   1,  10, 0.51937    , 0.26617                                  
   1,   1,  11, 0.61109    , 0.33751                                  
   1,   1,  12, 0.43475    , 0.21300                                  
   1,   1,  13, 0.64518    , 0.36403                                  
   1,   1,  14, 0.62077    , 0.34504                                  
   1,   1,  15, 0.62512    , 0.34843                                  
   1,   1,  16, 0.57028    , 0.30578                                  
   1,   1,  17, 0.59060    , 0.32158                                  
   1,   1,  18, 0.64108    , 0.36084                                  
   1,   1,  19, 0.42745    , 0.20883                                  
   1,   1,  20, 0.63219    , 0.35392                                  
   1,   1,  21, 0.59234    , 0.32293                                  
   1,   1,  22, 0.42340    , 0.20652                                  
   1,   1,  23, 0.63123    , 0.35318                                  
   1,   1,  24, 0.62992    , 0.35216                                  
   2,   1,   1, 0.39267    , 0.19239                                  
   2,   1,   2, 0.56069    , 0.31165                                  
   2,   1,   3, 0.45414    , 0.22878                                  
   2,   1,   4, 0.56896    , 0.31808                                  
   2,   1,   5, 0.53502    , 0.29168                                  
   2,   1,   6, 0.41423    , 0.20471                                  
   2,   1,   7, 0.58274    , 0.32880                                  
   2,   1,   8, 0.51730    , 0.27790                                  
   2,   1,   9, 0.38296    , 0.18684                                  
   2,   1,  10, 0.54360    , 0.29836                                  
   2,   1,  11, 0.47808    , 0.24740                                  
   2,   1,  12, 0.57432    , 0.32225                                  
   2,   1,  13, 0.59566    , 0.33884                                  
   2,   1,  14, 0.46911    , 0.24042                                  
   2,   1,  15, 0.56463    , 0.31471                                  
   2,   1,  16, 0.55195    , 0.30485                                  
   2,   1,  17, 0.57904    , 0.32592                                  
   2,   1,  18, 0.38608    , 0.18862                                  
   2,   1,  19, 0.53344    , 0.29046                                  
   2,   1,  20, 0.57014    , 0.31900                                  
   2,   1,  21, 0.51509    , 0.27619                                  
   2,   1,  22, 0.57101    , 0.31967                                  
   2,   1,  23, 0.38243    , 0.18653                                  
   2,   1,  24, 0.56857    , 0.31777                                  
   3,   1,   1, 0.63585    , 0.35677                                  
   3,   1,   2, 0.45862    , 0.22664                                  
   3,   1,   3, 0.57272    , 0.30768                                  
   3,   1,   4, 0.52931    , 0.27390                                  
   3,   1,   5, 0.42400    , 0.20685                                  
   3,   1,   6, 0.60185    , 0.33032                                  
   3,   1,   7, 0.50280    , 0.25329                                  
   3,   1,   8, 0.65948    , 0.37515                                  
   3,   1,   9, 0.62948    , 0.35182                                  
   3,   1,  10, 0.51937    , 0.26617                                  
   3,   1,  11, 0.61109    , 0.33751                                  
   3,   1,  12, 0.43475    , 0.21300                                  
   3,   1,  13, 0.64518    , 0.36403                                  
   3,   1,  14, 0.62077    , 0.34504                                  
   3,   1,  15, 0.62512    , 0.34843                                  
   3,   1,  16, 0.57028    , 0.30578                                  
   3,   1,  17, 0.59060    , 0.32158                                  
   3,   1,  18, 0.64108    , 0.36084                                  
   3,   1,  19, 0.42745    , 0.20883                                  
   3,   1,  20, 0.63219    , 0.35392                                  
   3,   1,  21, 0.59234    , 0.32293                                  
   3,   1,  22, 0.42340    , 0.20652                                  
   3,   1,  23, 0.63123    , 0.35318                                  
   3,   1,  24, 0.62992    , 0.35216                                  
   4,   1,   1, 0.40975    , 0.19985                                  
   4,   1,   2, 0.63820    , 0.36305                                  
   4,   1,   3, 0.57323    , 0.31252                                  
   4,   1,   4, 0.51223    , 0.26507                                  
   4,   1,   5, 0.60496    , 0.33719                                  
   4,   1,   6, 0.44382    , 0.21933                                  
   4,   1,   7, 0.55425    , 0.29775                                  
   4,   1,   8, 0.62437    , 0.35228                                  
   4,   1,   9, 0.48658    , 0.24512                                  
   4,   1,  10, 0.61534    , 0.34526                                  
   4,   1,  11, 0.58243    , 0.31967                                  
   4,   1,  12, 0.42072    , 0.20613                                  
   4,   1,  13, 0.50261    , 0.25759                                  
   4,   1,  14, 0.41366    , 0.20209                                  
   4,   1,  15, 0.61179    , 0.34251                                  
   4,   1,  16, 0.60074    , 0.33391                                  
   4,   1,  17, 0.59137    , 0.32663                                  
   4,   1,  18, 0.61087    , 0.34178                                  
   4,   1,  19, 0.55189    , 0.29591                                  
   4,   1,  20, 0.60960    , 0.34080                                  
   4,   1,  21, 0.62040    , 0.34920                                  
   4,   1,  22, 0.57155    , 0.31120                                  
   4,   1,  23, 0.41032    , 0.20018                                  
   4,   1,  24, 0.60918    , 0.34047                                  
   5,   1,   1, 0.63585    , 0.35677                                  
   5,   1,   2, 0.45862    , 0.22664                                  
   5,   1,   3, 0.57272    , 0.30768                                  
   5,   1,   4, 0.52931    , 0.27390                                  
   5,   1,   5, 0.42400    , 0.20685                                  
   5,   1,   6, 0.60185    , 0.33032                                  
   5,   1,   7, 0.50280    , 0.25329                                  
   5,   1,   8, 0.65948    , 0.37515                                  
   5,   1,   9, 0.62948    , 0.35182                                  
   5,   1,  10, 0.51937    , 0.26617                                  
   5,   1,  11, 0.61109    , 0.33751                                  
   5,   1,  12, 0.43475    , 0.21300                                  
   5,   1,  13, 0.64518    , 0.36403                                  
   5,   1,  14, 0.62077    , 0.34504                                  
   5,   1,  15, 0.62512    , 0.34843                                  
   5,   1,  16, 0.57028    , 0.30578                                  
   5,   1,  17, 0.59060    , 0.32158                                  
