Varies per block?       ,    2,Unit    ,MW     ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,T1          ,T2                                        
   1,   1,   1,  20.511    ,  11.509                                  
   1,   1,   2,  14.794    ,  7.3109                                  
   1,   1,   3,  18.475    ,  9.9250                                  
   1,   1,   4,  17.074    ,  8.8356                                  
   1,   1,   5,  13.677    ,  6.6727                                  
   1,   1,   6,  19.414    ,  10.656                                  
   1,   1,   7,  16.219    ,  8.1706                                  
   1,   1,   8,  21.273    ,  12.102                                  
   1,   1,   9,  20.306    ,  11.349                                  
   1,   1,  10,  16.754    ,  8.5863                                  
   1,   1,  11,  19.712    ,  10.887                                  
   1,   1,  12,  14.024    ,  6.8709                                  
   1,   1,  13,  20.812    ,  11.743                                  
   1,   1,  14,  20.025    ,  11.130                                  
   1,   1,  15,  20.165    ,  11.240                                  
   1,   1,  16,  18.396    ,  9.8638                                  
   1,   1,  17,  19.052    ,  10.373                                  
   1,   1,  18,  20.680    ,  11.640                                  
   1,   1,  19,  13.789    ,  6.7364                                  
   1,   1,  20,  20.393    ,  11.417                                  
   1,   1,  21,  19.108    ,  10.417                                  
   1,   1,  22,  13.658    ,  6.6618                                  
   1,   1,  23,  20.362    ,  11.393                                  
   1,   1,  24,  20.320    ,  11.360                                  
   2,   1,   1,  14.024    ,  6.8709                                  
   2,   1,   2,  20.025    ,  11.130                                  
   2,   1,   3,  16.219    ,  8.1706                                  
   2,   1,   4,  20.320    ,  11.360                                  
   2,   1,   5,  19.108    ,  10.417                                  
   2,   1,   6,  14.794    ,  7.3109                                  
   2,   1,   7,  20.812    ,  11.743                                  
   2,   1,   8,  18.475    ,  9.9250                                  
   2,   1,   9,  13.677    ,  6.6727                                  
   2,   1,  10,  19.414    ,  10.656                                  
   2,   1,  11,  17.074    ,  8.8356                                  
   2,   1,  12,  20.511    ,  11.509                                  
   2,   1,  13,  21.273    ,  12.102                                  
   2,   1,  14,  16.754    ,  8.5863                                  
   2,   1,  15,  20.165    ,  11.240                                  
   2,   1,  16,  19.712    ,  10.887                                  
   2,   1,  17,  20.680    ,  11.640                                  
   2,   1,  18,  13.789    ,  6.7364                                  
   2,   1,  19,  19.052    ,  10.373                                  
   2,   1,  20,  20.362    ,  11.393                                  
   2,   1,  21,  18.396    ,  9.8638                                  
   2,   1,  22,  20.393    ,  11.417                                  
   2,   1,  23,  13.658    ,  6.6618                                  
   2,   1,  24,  20.306    ,  11.349                                  
   3,   1,   1,  20.511    ,  11.509                                  
   3,   1,   2,  14.794    ,  7.3109                                  
   3,   1,   3,  18.475    ,  9.9250                                  
   3,   1,   4,  17.074    ,  8.8356                                  
   3,   1,   5,  13.677    ,  6.6727                                  
   3,   1,   6,  19.414    ,  10.656                                  
   3,   1,   7,  16.219    ,  8.1706                                  
   3,   1,   8,  21.273    ,  12.102                                  
   3,   1,   9,  20.306    ,  11.349                                  
   3,   1,  10,  16.754    ,  8.5863                                  
   3,   1,  11,  19.712    ,  10.887                                  
   3,   1,  12,  14.024    ,  6.8709                                  
   3,   1,  13,  20.812    ,  11.743                                  
   3,   1,  14,  20.025    ,  11.130                                  
   3,   1,  15,  20.165    ,  11.240                                  
   3,   1,  16,  18.396    ,  9.8638                                  
   3,   1,  17,  19.052    ,  10.373                                  
   3,   1,  18,  20.680    ,  11.640                                  
   3,   1,  19,  13.789    ,  6.7364                                  
   3,   1,  20,  20.393    ,  11.417                                  
   3,   1,  21,  19.108    ,  10.417                                  
   3,   1,  22,  13.658    ,  6.6618                                  
   3,   1,  23,  20.362    ,  11.393                                  
   3,   1,  24,  20.320    ,  11.360                                  
   4,   1,   1,  13.658    ,  6.6618                                  
   4,   1,   2,  21.273    ,  12.102                                  
   4,   1,   3,  19.108    ,  10.417                                  
   4,   1,   4,  17.074    ,  8.8356                                  
   4,   1,   5,  20.165    ,  11.240                                  
   4,   1,   6,  14.794    ,  7.3109                                  
   4,   1,   7,  18.475    ,  9.9250                                  
   4,   1,   8,  20.812    ,  11.743                                  
   4,   1,   9,  16.219    ,  8.1706                                  
   4,   1,  10,  20.511    ,  11.509                                  
   4,   1,  11,  19.414    ,  10.656                                  
   4,   1,  12,  14.024    ,  6.8709                                  
   4,   1,  13,  16.754    ,  8.5863                                  
   4,   1,  14,  13.789    ,  6.7364                                  
   4,   1,  15,  20.393    ,  11.417                                  
   4,   1,  16,  20.025    ,  11.130                                  
   4,   1,  17,  19.712    ,  10.887                                  
   4,   1,  18,  20.362    ,  11.393                                  
   4,   1,  19,  18.396    ,  9.8638                                  
   4,   1,  20,  20.320    ,  11.360                                  
   4,   1,  21,  20.680    ,  11.640                                  
   4,   1,  22,  19.052    ,  10.373                                  
   4,   1,  23,  13.677    ,  6.6727                                  
   4,   1,  24,  20.306    ,  11.349                                  
   5,   1,   1,  20.511    ,  11.509                                  
   5,   1,   2,  14.794    ,  7.3109                                  
   5,   1,   3,  18.475    ,  9.9250                                  
   5,   1,   4,  17.074    ,  8.8356                                  
   5,   1,   5,  13.677    ,  6.6727                                  
   5,   1,   6,  19.414    ,  10.656                                  
   5,   1,   7,  16.219    ,  8.1706                                  
   5,   1,   8,  21.273    ,  12.102                                  
   5,   1,   9,  20.306    ,  11.349                                  
   5,   1,  10,  16.754    ,  8.5863                                  
   5,   1,  11,  19.712    ,  10.887                                  
   5,   1,  12,  14.024    ,  6.8709                                  
   5,   1,  13,  20.812    ,  11.743                                  
   5,   1,  14,  20.025    ,  11.130                                  
   5,   1,  15,  20.165    ,  11.240                                  
   5,   1,  16,  18.396    ,  9.8638                                  
   5,   1,  17,  19.052    ,  10.373                                  
   5,   1,  18,  20.680    ,  11.640                                  
   5,   1,  19,  13.789    ,  6.7364                                  
   5,   1,  20,  20.393    ,  11.417                                  
   5,   1,  21,  19.108    ,  10.417                                  
   5,   1,  22,  13.658    ,  6.6618                                  
   5,   1,  23,  20.362    ,  11.393                                  
   5,   1,  24,  20.320    ,  11.360                                  
   6,   1,   1,  13.658    ,  6.6618                                  
   6,   1,   2,  21.273    ,  12.102                                  
   6,   1,   3,  19.108    ,  10.417                                  
   6,   1,   4,  17.074    ,  8.8356                                  
   6,   1,   5,  20.165    ,  11.240                                  
   6,   1,   6,  14.794    ,  7.3109                                  
   6,   1,   7,  18.475    ,  9.9250                                  
   6,   1,   8,  20.812    ,  11.743                                  
   6,   1,   9,  16.219    ,  8.1706                                  
   6,   1,  10,  20.511    ,  11.509                                  
   6,   1,  11,  19.414    ,  10.656                                  
   6,   1,  12,  14.024    ,  6.8709                                  
   6,   1,  13,  16.754    ,  8.5863                                  
   6,   1,  14,  13.789    ,  6.7364                                  
   6,   1,  15,  20.393    ,  11.417                                  
   6,   1,  16,  20.025    ,  11.130                                  
   6,   1,  17,  19.712    ,  10.887                                  
   6,   1,  18,  20.362    ,  11.393                                  
   6,   1,  19,  18.396    ,  9.8638                                  
   6,   1,  20,  20.320    ,  11.360                                  
   6,   1,  21,  20.680    ,  11.640                                  
   6,   1,  22,  19.052    ,  10.373                                  
   6,   1,  23,  13.677    ,  6.6727                                  
   6,   1,  24,  20.306    ,  11.349                                  
   7,   1,   1,  20.511    ,  11.509                                  
   7,   1,   2,  14.794    ,  7.3109                                  
   7,   1,   3,  18.475    ,  9.9250                                  
   7,   1,   4,  17.074    ,  8.8356                                  
   7,   1,   5,  13.677    ,  6.6727                                  
   7,   1,   6,  19.414    ,  10.656                                  
   7,   1,   7,  16.219    ,  8.1706                                  
   7,   1,   8,  21.273    ,  12.102                                  
   7,   1,   9,  20.306    ,  11.349                                  
   7,   1,  10,  16.754    ,  8.5863                                  
   7,   1,  11,  19.712    ,  10.887                                  
   7,   1,  12,  14.024    ,  6.8709                                  
   7,   1,  13,  20.812    ,  11.743                                  
   7,   1,  14,  20.025    ,  11.130                                  
   7,   1,  15,  20.165    ,  11.240                                  
   7,   1,  16,  18.396    ,  9.8638                                  
   7,   1,  17,  19.052    ,  10.373                                  
   7,   1,  18,  20.680    ,  11.640                                  
   7,   1,  19,  13.789    ,  6.7364                                  
   7,   1,  20,  20.393    ,  11.417                                  
   7,   1,  21,  19.108    ,  10.417                                  
   7,   1,  22,  13.658    ,  6.6618                                  
   7,   1,  23,  20.362    ,  11.393                                  
   7,   1,  24,  20.320    ,  11.360                                  
   8,   1,   1,  20.511    ,  11.509                                  
   8,   1,   2,  14.794    ,  7.3109                                  
   8,   1,   3,  18.475    ,  9.9250                                  
   8,   1,   4,  17.074    ,  8.8356                                  
