Varies per block?       ,    1,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,B2                                                     
   1,   1,   1,  0.0000                                               
   1,   1,   2,  0.0000                                               
   1,   1,   3,  0.0000                                               
   1,   1,   4,  0.0000                                               
   1,   1,   5,  0.0000                                               
   1,   1,   6,  0.0000                                               
   1,   1,   7,  0.0000                                               
   1,   1,   8,  0.0000                                               
   1,   1,   9,  0.0000                                               
   1,   1,  10,  0.0000                                               
   1,   1,  11,  0.0000                                               
   1,   1,  12,  0.0000                                               
   1,   1,  13,  0.0000                                               
   1,   1,  14,  0.0000                                               
   1,   1,  15,  0.0000                                               
   1,   1,  16,  0.0000                                               
   1,   1,  17,  0.0000                                               
   1,   1,  18,  0.0000                                               
   1,   1,  19,  0.0000                                               
   1,   1,  20,  0.0000                                               
   1,   1,  21,  0.0000                                               
   1,   1,  22,  0.0000                                               
   1,   1,  23,  0.0000                                               
   1,   1,  24,  0.0000                                               
   2,   1,   1,  0.0000                                               
   2,   1,   2,  0.0000                                               
   2,   1,   3,  0.0000                                               
   2,   1,   4,  0.0000                                               
   2,   1,   5,  0.0000                                               
   2,   1,   6,  0.0000                                               
   2,   1,   7,  0.0000                                               
   2,   1,   8,  0.0000                                               
   2,   1,   9,  0.0000                                               
   2,   1,  10,  0.0000                                               
   2,   1,  11,  0.0000                                               
   2,   1,  12,  0.0000                                               
   2,   1,  13,  0.0000                                               
   2,   1,  14,  0.0000                                               
   2,   1,  15,  0.0000                                               
   2,   1,  16,  0.0000                                               
   2,   1,  17,  0.0000                                               
   2,   1,  18,  0.0000                                               
   2,   1,  19,  0.0000                                               
   2,   1,  20,  0.0000                                               
   2,   1,  21,  0.0000                                               
   2,   1,  22,  0.0000                                               
   2,   1,  23,  0.0000                                               
   2,   1,  24,  0.0000                                               
   3,   1,   1,  0.0000                                               
   3,   1,   2,  0.0000                                               
   3,   1,   3,  0.0000                                               
   3,   1,   4,  0.0000                                               
   3,   1,   5,  0.0000                                               
   3,   1,   6,  0.0000                                               
   3,   1,   7,  0.0000                                               
   3,   1,   8,  0.0000                                               
   3,   1,   9,  0.0000                                               
   3,   1,  10,  0.0000                                               
   3,   1,  11,  0.0000                                               
   3,   1,  12,  0.0000                                               
   3,   1,  13,  0.0000                                               
   3,   1,  14,  0.0000                                               
   3,   1,  15,  0.0000                                               
   3,   1,  16,  0.0000                                               
   3,   1,  17,  0.0000                                               
   3,   1,  18,  0.0000                                               
   3,   1,  19,  0.0000                                               
   3,   1,  20,  0.0000                                               
   3,   1,  21,  0.0000                                               
   3,   1,  22,  0.0000                                               
   3,   1,  23,  0.0000                                               
   3,   1,  24,  0.0000                                               
   4,   1,   1,  0.0000                                               
   4,   1,   2,  0.0000                                               
   4,   1,   3,  0.0000                                               
   4,   1,   4,  0.0000                                               
   4,   1,   5,  0.0000                                               
   4,   1,   6,  0.0000                                               
   4,   1,   7,  0.0000                                               
   4,   1,   8,  0.0000                                               
   4,   1,   9,  0.0000                                               
   4,   1,  10,  0.0000                                               
   4,   1,  11,  0.0000                                               
   4,   1,  12,  0.0000                                               
   4,   1,  13,  0.0000                                               
   4,   1,  14,  0.0000                                               
   4,   1,  15,  0.0000                                               
   4,   1,  16,  0.0000                                               
   4,   1,  17,  0.0000                                               
   4,   1,  18,  0.0000                                               
   4,   1,  19,  0.0000                                               
   4,   1,  20,  0.0000                                               
   4,   1,  21,  0.0000                                               
   4,   1,  22,  0.0000                                               
   4,   1,  23,  0.0000                                               
   4,   1,  24,  0.0000                                               
   5,   1,   1,  0.0000                                               
   5,   1,   2,  0.0000                                               
   5,   1,   3,  0.0000                                               
   5,   1,   4,  0.0000                                               
   5,   1,   5,  0.0000                                               
   5,   1,   6,  0.0000                                               
   5,   1,   7,  0.0000                                               
   5,   1,   8,  0.0000                                               
   5,   1,   9,  0.0000                                               
   5,   1,  10,  0.0000                                               
   5,   1,  11,  0.0000                                               
   5,   1,  12,  0.0000                                               
   5,   1,  13,  0.0000                                               
   5,   1,  14,  0.0000                                               
   5,   1,  15,  0.0000                                               
   5,   1,  16,  0.0000                                               
   5,   1,  17,  0.0000                                               
   5,   1,  18,  0.0000                                               
   5,   1,  19,  0.0000                                               
   5,   1,  20,  0.0000                                               
   5,   1,  21,  0.0000                                               
   5,   1,  22,  0.0000                                               
   5,   1,  23,  0.0000                                               
   5,   1,  24,  0.0000                                               
   6,   1,   1,  0.0000                                               
   6,   1,   2,  0.0000                                               
   6,   1,   3,  0.0000                                               
   6,   1,   4,  0.0000                                               
   6,   1,   5,  0.0000                                               
   6,   1,   6,  0.0000                                               
   6,   1,   7,  0.0000                                               
   6,   1,   8,  0.0000                                               
   6,   1,   9,  0.0000                                               
   6,   1,  10,  0.0000                                               
   6,   1,  11,  0.0000                                               
   6,   1,  12,  0.0000                                               
   6,   1,  13,  0.0000                                               
   6,   1,  14,  0.0000                                               
   6,   1,  15,  0.0000                                               
   6,   1,  16,  0.0000                                               
   6,   1,  17,  0.0000                                               
   6,   1,  18,  0.0000                                               
   6,   1,  19,  0.0000                                               
   6,   1,  20,  0.0000                                               
   6,   1,  21,  0.0000                                               
   6,   1,  22,  0.0000                                               
   6,   1,  23,  0.0000                                               
   6,   1,  24,  0.0000                                               
   7,   1,   1,  0.0000                                               
   7,   1,   2,  0.0000                                               
   7,   1,   3,  0.0000                                               
   7,   1,   4,  0.0000                                               
   7,   1,   5,  0.0000                                               
   7,   1,   6,  0.0000                                               
   7,   1,   7,  0.0000                                               
   7,   1,   8,  0.0000                                               
   7,   1,   9,  0.0000                                               
   7,   1,  10,  0.0000                                               
   7,   1,  11,  0.0000                                               
   7,   1,  12,  0.0000                                               
   7,   1,  13,  0.0000                                               
   7,   1,  14,  0.0000                                               
   7,   1,  15,  0.0000                                               
   7,   1,  16,  0.0000                                               
   7,   1,  17,  0.0000                                               
   7,   1,  18,  0.0000                                               
   7,   1,  19,  0.0000                                               
   7,   1,  20,  0.0000                                               
   7,   1,  21,  0.0000                                               
   7,   1,  22,  0.0000                                               
   7,   1,  23,  0.0000                                               
   7,   1,  24,  0.0000                                               
   8,   1,   1,  0.0000                                               
   8,   1,   2,  0.0000                                               
   8,   1,   3,  0.0000                                               
   8,   1,   4,  0.0000                                               
   8,   1,   5,  0.0000                                               
   8,   1,   6,  0.0000                                               
   8,   1,   7,  0.0000                                               
   8,   1,   8,  0.0000                                               
   8,   1,   9,  0.0000                                               
   8,   1,  10,  0.0000                                               
   8,   1,  11,  0.0000                                               
   8,   1,  12,  0.0000                                               
   8,   1,  13,  0.0000                                               
   8,   1,  14,  0.0000                                               
   8,   1,  15,  0.0000                                               
   8,   1,  16,  0.0000                                               
   8,   1,  17,  0.0000                                               
   8,   1,  18,  0.0000                                               
   8,   1,  19,  0.0000                                               
   8,   1,  20,  0.0000                                               
   8,   1,  21,  0.0000                                               
   8,   1,  22,  0.0000                                               
   8,   1,  23,  0.0000                                               
   8,   1,  24,  0.0000                                               
   9,   1,   1,  0.0000                                               
   9,   1,   2,  0.0000                                               
   9,   1,   3,  0.0000                                               
   9,   1,   4,  0.0000                                               
   9,   1,   5,  0.0000                                               
   9,   1,   6,  0.0000                                               
   9,   1,   7,  0.0000                                               
   9,   1,   8,  0.0000                                               
   9,   1,   9,  0.0000                                               
   9,   1,  10,  0.0000                                               
   9,   1,  11,  0.0000                                               
   9,   1,  12,  0.0000                                               
   9,   1,  13,  0.0000                                               
   9,   1,  14,  0.0000                                               
   9,   1,  15,  0.0000                                               
   9,   1,  16,  0.0000                                               
   9,   1,  17,  0.0000                                               
   9,   1,  18,  0.0000                                               
   9,   1,  19,  0.0000                                               
