Varies per block?       ,    1,Unit    ,h      ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,S1                                                     
   1,   1,   1,  31.000                                               
   1,   1,   2,  31.000                                               
   1,   1,   3,  31.000                                               
   1,   1,   4,  31.000                                               
   1,   1,   5,  31.000                                               
   1,   1,   6,  31.000                                               
   1,   1,   7,  31.000                                               
   1,   1,   8,  31.000                                               
   1,   1,   9,  31.000                                               
   1,   1,  10,  31.000                                               
   1,   1,  11,  31.000                                               
   1,   1,  12,  31.000                                               
   1,   1,  13,  31.000                                               
   1,   1,  14,  31.000                                               
   1,   1,  15,  31.000                                               
   1,   1,  16,  31.000                                               
   1,   1,  17,  31.000                                               
   1,   1,  18,  31.000                                               
   1,   1,  19,  31.000                                               
   1,   1,  20,  31.000                                               
   1,   1,  21,  31.000                                               
   1,   1,  22,  31.000                                               
   1,   1,  23,  31.000                                               
   1,   1,  24,  31.000                                               
   2,   1,   1,  28.000                                               
   2,   1,   2,  28.000                                               
   2,   1,   3,  28.000                                               
   2,   1,   4,  28.000                                               
   2,   1,   5,  28.000                                               
   2,   1,   6,  28.000                                               
   2,   1,   7,  28.000                                               
   2,   1,   8,  28.000                                               
   2,   1,   9,  28.000                                               
   2,   1,  10,  28.000                                               
   2,   1,  11,  28.000                                               
   2,   1,  12,  28.000                                               
   2,   1,  13,  28.000                                               
   2,   1,  14,  28.000                                               
   2,   1,  15,  28.000                                               
   2,   1,  16,  28.000                                               
   2,   1,  17,  28.000                                               
   2,   1,  18,  28.000                                               
   2,   1,  19,  28.000                                               
   2,   1,  20,  28.000                                               
   2,   1,  21,  28.000                                               
   2,   1,  22,  28.000                                               
   2,   1,  23,  28.000                                               
   2,   1,  24,  28.000                                               
   3,   1,   1,  31.000                                               
   3,   1,   2,  31.000                                               
   3,   1,   3,  31.000                                               
   3,   1,   4,  31.000                                               
   3,   1,   5,  31.000                                               
   3,   1,   6,  31.000                                               
   3,   1,   7,  31.000                                               
   3,   1,   8,  31.000                                               
   3,   1,   9,  31.000                                               
   3,   1,  10,  31.000                                               
   3,   1,  11,  31.000                                               
   3,   1,  12,  31.000                                               
