Varies per block?       ,    2,Unit    ,m3/s   ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,H1          ,H2                                        
   1,   1,   1,  0.0000    ,  0.0000                                  
   1,   1,   2,  0.0000    ,  0.0000                                  
   1,   1,   3,  68.000    ,  0.0000                                  
   1,   1,   4,  0.0000    ,  0.0000                                  
   1,   1,   5,  0.0000    ,  0.0000                                  
   1,   1,   6,  85.600    ,  0.0000                                  
   1,   1,   7,  0.0000    ,  0.0000                                  
   1,   1,   8,  0.0000    ,  0.0000                                  
   1,   1,   9,  0.0000    ,  0.0000                                  
   1,   1,  10,  0.0000    ,  0.0000                                  
   1,   1,  11,  0.0000    ,  0.0000                                  
   1,   1,  12,  0.0000    ,  0.0000                                  
   1,   1,  13,  0.0000    ,  0.0000                                  
   1,   1,  14,  0.0000    ,  0.0000                                  
   1,   1,  15,  0.0000    ,  0.0000                                  
   1,   1,  16,  0.0000    ,  0.0000                                  
   1,   1,  17,  0.0000    ,  0.0000                                  
   1,   1,  18,  0.0000    ,  0.0000                                  
   1,   1,  19,  0.0000    ,  0.0000                                  
   1,   1,  20,  0.0000    ,  0.0000                                  
   1,   1,  21,  0.0000    ,  0.0000                                  
   1,   1,  22,  0.0000    ,  0.0000                                  
   1,   1,  23,  0.0000    ,  0.0000                                  
   1,   1,  24,  0.0000    ,  0.0000                                  
   2,   1,   1,  0.0000    ,  0.0000                                  
   2,   1,   2,  123.10    ,  0.0000                                  
   2,   1,   3,  0.0000    ,  0.0000                                  
   2,   1,   4,  133.60    ,  0.0000                                  
   2,   1,   5,  0.0000    ,  0.0000                                  
   2,   1,   6,  0.0000    ,  0.0000                                  
   2,   1,   7,  0.0000    ,  0.0000                                  
   2,   1,   8,  0.0000    ,  0.0000                                  
   2,   1,   9,  0.0000    ,  0.0000                                  
   2,   1,  10,  0.0000    ,  0.0000                                  
   2,   1,  11,  0.0000    ,  0.0000                                  
   2,   1,  12,  0.0000    ,  0.0000                                  
   2,   1,  13,  0.0000    ,  0.0000                                  
   2,   1,  14,  0.0000    ,  0.0000                                  
   2,   1,  15,  0.0000    ,  0.0000                                  
   2,   1,  16,  0.0000    ,  0.0000                                  
   2,   1,  17,  0.0000    ,  0.0000                                  
   2,   1,  18,  0.0000    ,  0.0000                                  
   2,   1,  19,  0.0000    ,  0.0000                                  
   2,   1,  20,  0.0000    ,  0.0000                                  
   2,   1,  21,  0.0000    ,  0.0000                                  
   2,   1,  22,  71.000    ,  0.0000                                  
   2,   1,  23,  0.0000    ,  0.0000                                  
   2,   1,  24,  133.10    ,  0.0000                                  
   3,   1,   1,  140.40    ,  0.0000                                  
   3,   1,   2,  0.0000    ,  0.0000                                  
   3,   1,   3,  68.000    ,  0.0000                                  
   3,   1,   4,  0.0000    ,  0.0000                                  
   3,   1,   5,  0.0000    ,  0.0000                                  
   3,   1,   6,  101.40    ,  0.0000                                  
   3,   1,   7,  0.0000    ,  0.0000                                  
   3,   1,   8,  125.52    ,  0.0000                                  
   3,   1,   9,  0.0000    ,  0.0000                                  
   3,   1,  10,  0.0000    ,  0.0000                                  
   3,   1,  11,  0.0000    ,  0.0000                                  
   3,   1,  12,  0.0000    ,  0.0000                                  
   3,   1,  13,  0.0000    ,  0.0000                                  
   3,   1,  14,  0.0000    ,  0.0000                                  
   3,   1,  15,  0.0000    ,  0.0000                                  
   3,   1,  16,  0.0000    ,  0.0000                                  
   3,   1,  17,  0.0000    ,  0.0000                                  
   3,   1,  18,  0.0000    ,  0.0000                                  
   3,   1,  19,  0.0000    ,  0.0000                                  
   3,   1,  20,  0.0000    ,  0.0000                                  
   3,   1,  21,  0.0000    ,  0.0000                                  
   3,   1,  22,  0.0000    ,  0.0000                                  
   3,   1,  23,  135.10    ,  0.0000                                  
   3,   1,  24,  133.60    ,  0.0000                                  
   4,   1,   1,  0.0000    ,  0.0000                                  
   4,   1,   2,  167.50    ,  0.0000                                  
   4,   1,   3,  90.500    ,  0.0000                                  
   4,   1,   4,  0.0000    ,  0.0000                                  
   4,   1,   5,  49.200    ,  0.0000                                  
   4,   1,   6,  0.0000    ,  0.0000                                  
   4,   1,   7,  0.0000    ,  0.0000                                  
   4,   1,   8,  0.0000    ,  0.0000                                  
   4,   1,   9,  0.0000    ,  0.0000                                  
   4,   1,  10,  0.0000    ,  0.0000                                  
   4,   1,  11,  0.0000    ,  0.0000                                  
   4,   1,  12,  0.0000    ,  0.0000                                  
   4,   1,  13,  0.0000    ,  0.0000                                  
   4,   1,  14,  0.0000    ,  0.0000                                  
   4,   1,  15,  0.0000    ,  0.0000                                  
   4,   1,  16,  0.0000    ,  0.0000                                  
   4,   1,  17,  0.0000    ,  0.0000                                  
   4,   1,  18,  0.0000    ,  0.0000                                  
   4,   1,  19,  0.0000    ,  0.0000                                  
   4,   1,  20,  0.0000    ,  0.0000                                  
   4,   1,  21,  0.0000    ,  0.0000                                  
   4,   1,  22,  0.0000    ,  0.0000                                  
   4,   1,  23,  0.0000    ,  0.0000                                  
   4,   1,  24,  0.0000    ,  0.0000                                  
   5,   1,   1,  140.40    ,  0.0000                                  
   5,   1,   2,  0.0000    ,  0.0000                                  
   5,   1,   3,  39.900    ,  0.0000                                  
   5,   1,   4,  0.0000    ,  0.0000                                  
   5,   1,   5,  0.0000    ,  0.0000                                  
   5,   1,   6,  0.0000    ,  0.0000                                  
   5,   1,   7,  0.0000    ,  0.0000                                  
   5,   1,   8,  0.0000    ,  0.0000                                  
   5,   1,   9,  0.0000    ,  0.0000                                  
   5,   1,  10,  0.0000    ,  0.0000                                  
   5,   1,  11,  0.0000    ,  0.0000                                  
   5,   1,  12,  0.0000    ,  0.0000                                  
   5,   1,  13,  0.0000    ,  0.0000                                  
   5,   1,  14,  0.0000    ,  0.0000                                  
   5,   1,  15,  0.0000    ,  0.0000                                  
   5,   1,  16,  0.0000    ,  0.0000                                  
   5,   1,  17,  88.500    ,  0.0000                                  
   5,   1,  18,  0.0000    ,  0.0000                                  
   5,   1,  19,  0.0000    ,  0.0000                                  
