Varies per block?       ,    0,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    3                                        
Stag,Seq.,Blck,P10         ,Average     ,P90                          
   1,   1,   1,      1.2936,      1.2936,      1.2936                 
   2,   1,   1,       5.846,       5.846,       5.846                 
   3,   1,   1,      3.5735,      3.5735,      3.5735                 
   4,   1,   1,      3.8355,      3.8355,      3.8355                 
   5,   1,   1,       2.738,       2.738,       2.738                 
   6,   1,   1,      2.8792,      2.8792,      2.8792                 
   7,   1,   1,      3.5522,      3.5522,      3.5522                 
   8,   1,   1,      3.1572,      3.1572,      3.1572                 
   9,   1,   1,      2.7771,      2.7771,      2.7771                 
  10,   1,   1,      4.8292,      4.8292,      4.8292                 
  11,   1,   1,      2.1853,      2.1853,      2.1853                 
  12,   1,   1,      2.5785,      2.5785,      2.5785                 
