 Generation (GWh) - S1          
                                                                                                                                                      
 Year,Plant,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total

2016,H1          ,0.23808,0.64512,1.09123, 0.4608,.416635, 0.4608,0.49699,0.31843,0.32544,.556512,  0.288,.496987,  5.795024
    ,H2          ,2.77698,2.07816,1.54136, 1.5315,.654825,0.57515,1.06729,1.56508,1.14992,2.04662,.745297,.093555,  15.82574                                                                                                                                                      

    ,Fuel1       ,17.9361,16.2004,17.9361,17.3576,17.9361,17.3576,17.9361,17.9361,17.3576,17.9361,17.3576,17.9361,  211.1835
    ,Fuel2       ,     0.,     0.,.382472,.925502, 1.9436,1.88185,1.45079,1.13154,1.44244,0.41194, 1.8845,2.42451,  13.87913                                                                                                                                                      

    ,Total Hydro ,3.01506,2.72328,2.63259, 1.9923,1.07146,1.03595,1.56428,1.88351,1.47536,2.60313, 1.0333,.590542,  21.62076
    ,Total Therm ,17.9361,16.2004,18.3186,18.2831,19.8797,19.2394,19.3869,19.0677,   18.8,18.3481,19.2421,20.3606,  225.0626
    ,Total Renew ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Batt. ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Inject,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Gener ,20.9512,18.9237,20.9512,20.2754,20.9512,20.2754,20.9512,20.9512,20.2754,20.9512,20.2754,20.9512,  246.6834
    ,Excess Gener,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Imports     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Exports     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Losses      ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Load        ,20.9511,18.9237,20.9511,20.2754,20.9511,20.2754,20.9511,20.9511,20.2754,20.9511,20.2754,20.9511,  246.6832
    ,Spot Market ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Deficit     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.                                                                                                                                                      
