 Generation (GWh) - Total
 
Stage,Total Hydro,Total Therm.,Total Renew,Total Batt,Total Inject,Deficit
"2016/01",        3.02,       17.94,        0.00,        0.00,        0.00,        0.00
"2016/02",        2.72,       16.20,        0.00,        0.00,        0.00,        0.00
"2016/03",        2.63,       18.32,        0.00,        0.00,        0.00,        0.00
"2016/04",        1.99,       18.28,        0.00,        0.00,        0.00,        0.00
"2016/05",        1.07,       19.88,        0.00,        0.00,        0.00,        0.00
"2016/06",        1.04,       19.24,        0.00,        0.00,        0.00,        0.00
"2016/07",        1.56,       19.39,        0.00,        0.00,        0.00,        0.00
"2016/08",        1.88,       19.07,        0.00,        0.00,        0.00,        0.00
"2016/09",        1.48,       18.80,        0.00,        0.00,        0.00,        0.00
"2016/10",        2.60,       18.35,        0.00,        0.00,        0.00,        0.00
"2016/11",        1.03,       19.24,        0.00,        0.00,        0.00,        0.00
"2016/12",        0.59,       20.36,        0.00,        0.00,        0.00,        0.00
