Varies per block?       ,    1,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,H1          ,H2                                        
   1,   1,   1, 0.31000    , 0.31000                                  
   1,   1,   2, 0.31000    ,  0.0000                                  
   1,   1,   3,  0.0000    , 0.31000                                  
   1,   1,   4, 0.31000    ,  0.0000                                  
   1,   1,   5, 0.31000    , 0.31000                                  
   1,   1,   6,  0.0000    , 0.31000                                  
   1,   1,   7,  0.0000    , 0.31000                                  
   1,   1,   8,  0.0000    , 0.25962                                  
   1,   1,   9,  0.0000    , 0.20631                                  
   1,   1,  10,  0.0000    , 0.65235E-01                              
   1,   1,  11, 0.17360    ,  0.0000                                  
   1,   1,  12, 0.31000    ,  0.0000                                  
   1,   1,  13,  0.0000    , 0.23421                                  
   1,   1,  14,  0.0000    , 0.19081                                  
   1,   1,  15,  0.0000    , 0.19856                                  
   1,   1,  16, 0.31000    ,  0.0000                                  
   1,   1,  17, 0.31000    ,  0.0000                                  
   1,   1,  18, 0.31000    ,  0.0000                                  
   1,   1,  19, 0.31000    ,  0.0000                                  
   1,   1,  20, 0.21111    ,  0.0000                                  
   1,   1,  21,  0.0000    , 0.14027                                  
   1,   1,  22, 0.31000    ,  0.0000                                  
   1,   1,  23, 0.17347    , 0.35937E-01                              
   1,   1,  24, 0.31000    ,  0.0000                                  
   2,   1,   1, 0.28000    , 0.28000                                  
   2,   1,   2, 0.28000    , 0.28000                                  
   2,   1,   3,  0.0000    ,  0.0000                                  
   2,   1,   4,  0.0000    , 0.28000                                  
   2,   1,   5,  0.0000    , 0.12670                                  
   2,   1,   6,  0.0000    ,  0.0000                                  
   2,   1,   7,  0.0000    , 0.21154                                  
   2,   1,   8,  0.0000    , 0.95200E-01                              
   2,   1,   9,  0.0000    ,  0.0000                                  
   2,   1,  10,  0.0000    , 0.14196                                  
   2,   1,  11, 0.28000    , 0.28000                                  
   2,   1,  12, 0.28000    ,  0.0000                                  
   2,   1,  13, 0.28000    , 0.28000                                  
   2,   1,  14, 0.28000    , 0.23914                                  
   2,   1,  15, 0.28000    ,  0.0000                                  
   2,   1,  16, 0.28000    ,  0.0000                                  
   2,   1,  17, 0.28000    ,  0.0000                                  
   2,   1,  18, 0.28000    ,  0.0000                                  
   2,   1,  19,  0.0000    , 0.12390                                  
   2,   1,  20, 0.18914    ,  0.0000                                  
   2,   1,  21,  0.0000    , 0.91280E-01                              
   2,   1,  22,  0.0000    , 0.19068                                  
   2,   1,  23, 0.50120E-01,  0.0000                                  
   2,   1,  24, 0.18634    ,  0.0000                                  
   3,   1,   1, 0.31000    ,  0.0000                                  
   3,   1,   2, 0.31000    ,  0.0000                                  
   3,   1,   3,  0.0000    , 0.10540                                  
   3,   1,   4,  0.0000    , 0.28210E-01                              
   3,   1,   5,  0.0000    ,  0.0000                                  
   3,   1,   6,  0.0000    , 0.15717                                  
   3,   1,   7,  0.0000    ,  0.0000                                  
   3,   1,   8, 0.25962    ,  0.0000                                  
   3,   1,   9,  0.0000    , 0.20631                                  
   3,   1,  10,  0.0000    , 0.10540E-01                              
   3,   1,  11, 0.17360    ,  0.0000                                  
   3,   1,  12, 0.15611    ,  0.0000                                  
   3,   1,  13,  0.0000    , 0.23421                                  
   3,   1,  14, 0.19081    ,  0.0000                                  
   3,   1,  15, 0.19856    ,  0.0000                                  
   3,   1,  16,  0.0000    , 0.10106                                  
   3,   1,  17, 0.84917E-01, 0.52258E-01                              
   3,   1,  18, 0.22692    ,  0.0000                                  
   3,   1,  19,  0.0000    ,  0.0000                                  
   3,   1,  20, 0.21111    ,  0.0000                                  
   3,   1,  21, 0.14027    ,  0.0000                                  
   3,   1,  22,  0.0000    ,  0.0000                                  
   3,   1,  23, 0.20940    ,  0.0000                                  
   3,   1,  24, 0.20708    ,  0.0000                                  
   4,   1,   1,  0.0000    ,  0.0000                                  
   4,   1,   2,  0.0000    , 0.25125                                  
   4,   1,   3, 0.13575    ,  0.0000                                  
   4,   1,   4, 0.27300E-01,  0.0000                                  
   4,   1,   5,  0.0000    , 0.19215                                  
   4,   1,   6,  0.0000    ,  0.0000                                  
   4,   1,   7, 0.10200    ,  0.0000                                  
   4,   1,   8, 0.22665    ,  0.0000                                  
   4,   1,   9,  0.0000    ,  0.0000                                  
   4,   1,  10, 0.50400E-01, 0.16020                                  
   4,   1,  11, 0.15210    ,  0.0000                                  
   4,   1,  12,  0.0000    ,  0.0000                                  
   4,   1,  13,  0.0000    , 0.10200E-01                              
   4,   1,  14,  0.0000    ,  0.0000                                  
   4,   1,  15, 0.20430    ,  0.0000                                  
   4,   1,  16, 0.18465    ,  0.0000                                  
   4,   1,  17, 0.16800    ,  0.0000                                  
   4,   1,  18, 0.20265    ,  0.0000                                  
   4,   1,  19, 0.97800E-01,  0.0000                                  
   4,   1,  20, 0.20040    ,  0.0000                                  
   4,   1,  21, 0.21960    ,  0.0000                                  
   4,   1,  22, 0.13275    ,  0.0000                                  
   4,   1,  23,  0.0000    ,  0.0000                                  
