$unit mw
!Year,Month,Hour,L1
2016,1,1,20.35
2016,1,2,20.32
2016,1,3,20.525
2016,1,4,20.895
2016,1,5,22.105
2016,1,6,25.34
2016,1,7,28.4
2016,1,8,30.07
2016,1,9,31.405
2016,1,10,31.755
2016,1,11,32.32
2016,1,12,31.655
2016,1,13,32.02
2016,1,14,31.68
2016,1,15,31.81
2016,1,16,30.6
2016,1,17,29.425
2016,1,18,29.525
2016,1,19,32.555
2016,1,20,33.375
2016,1,21,31.155
2016,1,22,28.26
2016,1,23,25.91
2016,1,24,24.39
2016,1,25,20.35
2016,1,26,20.32
2016,1,27,20.525
2016,1,28,20.895
2016,1,29,22.105
2016,1,30,25.34
2016,1,31,28.4
2016,1,32,30.07
2016,1,33,31.405
2016,1,34,31.755
2016,1,35,32.32
2016,1,36,31.655
2016,1,37,32.02
2016,1,38,31.68
2016,1,39,31.81
2016,1,40,30.6
2016,1,41,29.425
2016,1,42,29.525
2016,1,43,32.555
2016,1,44,33.375
2016,1,45,31.155
2016,1,46,28.26
2016,1,47,25.91
2016,1,48,24.39
2016,1,49,20.35
2016,1,50,20.32
2016,1,51,20.525
2016,1,52,20.895
2016,1,53,22.105
2016,1,54,25.34
2016,1,55,28.4
2016,1,56,30.07
2016,1,57,31.405
2016,1,58,31.755
2016,1,59,32.32
2016,1,60,31.655
2016,1,61,32.02
2016,1,62,31.68
2016,1,63,31.81
2016,1,64,30.6
2016,1,65,29.425
2016,1,66,29.525
2016,1,67,32.555
2016,1,68,33.375
2016,1,69,31.155
2016,1,70,28.26
2016,1,71,25.91
2016,1,72,24.39
2016,1,73,20.35
2016,1,74,20.32
2016,1,75,20.525
2016,1,76,20.895
2016,1,77,22.105
2016,1,78,25.34
2016,1,79,28.4
2016,1,80,30.07
2016,1,81,31.405
2016,1,82,31.755
2016,1,83,32.32
2016,1,84,31.655
2016,1,85,32.02
2016,1,86,31.68
2016,1,87,31.81
2016,1,88,30.6
2016,1,89,29.425
2016,1,90,29.525
2016,1,91,32.555
2016,1,92,33.375
2016,1,93,31.155
2016,1,94,28.26
2016,1,95,25.91
2016,1,96,24.39
2016,1,97,20.35
2016,1,98,20.32
2016,1,99,20.525
2016,1,100,20.895
2016,1,101,22.105
2016,1,102,25.34
2016,1,103,28.4
2016,1,104,30.07
2016,1,105,31.405
2016,1,106,31.755
2016,1,107,32.32
2016,1,108,31.655
2016,1,109,32.02
2016,1,110,31.68
2016,1,111,31.81
2016,1,112,30.6
2016,1,113,29.425
2016,1,114,29.525
2016,1,115,32.555
2016,1,116,33.375
2016,1,117,31.155
2016,1,118,28.26
2016,1,119,25.91
2016,1,120,24.39
2016,1,121,20.35
2016,1,122,20.32
2016,1,123,20.525
2016,1,124,20.895
2016,1,125,22.105
2016,1,126,25.34
2016,1,127,28.4
2016,1,128,30.07
2016,1,129,31.405
2016,1,130,31.755
2016,1,131,32.32
2016,1,132,31.655
2016,1,133,32.02
2016,1,134,31.68
2016,1,135,31.81
2016,1,136,30.6
2016,1,137,29.425
2016,1,138,29.525
2016,1,139,32.555
2016,1,140,33.375
2016,1,141,31.155
2016,1,142,28.26
2016,1,143,25.91
2016,1,144,24.39
2016,1,145,20.35
2016,1,146,20.32
2016,1,147,20.525
2016,1,148,20.895
2016,1,149,22.105
2016,1,150,25.34
2016,1,151,28.4
2016,1,152,30.07
2016,1,153,31.405
2016,1,154,31.755
2016,1,155,32.32
2016,1,156,31.655
2016,1,157,32.02
2016,1,158,31.68
2016,1,159,31.81
2016,1,160,30.6
2016,1,161,29.425
2016,1,162,29.525
2016,1,163,32.555
2016,1,164,33.375
2016,1,165,31.155
2016,1,166,28.26
2016,1,167,25.91
2016,1,168,24.39
2016,1,169,20.35
2016,1,170,20.32
2016,1,171,20.525
2016,1,172,20.895
2016,1,173,22.105
2016,1,174,25.34
2016,1,175,28.4
2016,1,176,30.07
2016,1,177,31.405
2016,1,178,31.755
2016,1,179,32.32
2016,1,180,31.655
2016,1,181,32.02
2016,1,182,31.68
2016,1,183,31.81
2016,1,184,30.6
2016,1,185,29.425
2016,1,186,29.525
2016,1,187,32.555
2016,1,188,33.375
2016,1,189,31.155
2016,1,190,28.26
2016,1,191,25.91
2016,1,192,24.39
2016,1,193,20.35
2016,1,194,20.32
2016,1,195,20.525
2016,1,196,20.895
2016,1,197,22.105
2016,1,198,25.34
2016,1,199,28.4
2016,1,200,30.07
2016,1,201,31.405
2016,1,202,31.755
2016,1,203,32.32
2016,1,204,31.655
2016,1,205,32.02
2016,1,206,31.68
2016,1,207,31.81
2016,1,208,30.6
2016,1,209,29.425
2016,1,210,29.525
2016,1,211,32.555
