Varies per block?       ,    0,Unit    ,m3/s   ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,H1          ,H2                                        
   1,   1,   1,  8.0000    , 0.69331                                  
   2,   1,   1,  24.000    ,  19.497                                  
   3,   1,   1,  18.000    ,  6.0158                                  
   4,   1,   1,  16.000    ,  10.635                                  
   5,   1,   1,  14.000    ,  4.4007                                  
   6,   1,   1,  16.000    ,  3.9941                                  
   7,   1,   1,  16.700    ,  7.1726                                  
   8,   1,   1,  10.700    ,  10.518                                  
   9,   1,   1,  11.300    ,  7.9855                                  
  10,   1,   1,  18.700    ,  13.754                                  
  11,   1,   1,  10.000    ,  5.1757                                  
  12,   1,   1,  16.700    , 0.62873                                  
