Varies per block?       ,    2,Unit    ,m3/s   ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,H1          ,H2                                        
   1,   1,   1,  50.000    ,  50.000                                  
   1,   1,   2,  50.000    ,  0.0000                                  
   1,   1,   3,  0.0000    ,  50.000                                  
   1,   1,   4,  50.000    ,  0.0000                                  
   1,   1,   5,  50.000    ,  50.000                                  
   1,   1,   6,  0.0000    ,  50.000                                  
   1,   1,   7,  0.0000    ,  50.000                                  
   1,   1,   8,  0.0000    ,  41.875                                  
   1,   1,   9,  0.0000    ,  33.275                                  
   1,   1,  10,  0.0000    ,  10.522                                  
   1,   1,  11,  28.000    ,  0.0000                                  
   1,   1,  12,  50.000    ,  0.0000                                  
   1,   1,  13,  0.0000    ,  37.775                                  
   1,   1,  14,  0.0000    ,  30.775                                  
   1,   1,  15,  0.0000    ,  32.025                                  
   1,   1,  16,  50.000    ,  0.0000                                  
   1,   1,  17,  50.000    ,  0.0000                                  
   1,   1,  18,  50.000    ,  0.0000                                  
   1,   1,  19,  50.000    ,  0.0000                                  
   1,   1,  20,  34.050    ,  0.0000                                  
   1,   1,  21,  0.0000    ,  22.625                                  
   1,   1,  22,  50.000    ,  0.0000                                  
   1,   1,  23,  27.979    ,  5.7963                                  
   1,   1,  24,  50.000    ,  0.0000                                  
   2,   1,   1,  50.000    ,  50.000                                  
   2,   1,   2,  50.000    ,  50.000                                  
   2,   1,   3,  0.0000    ,  0.0000                                  
   2,   1,   4,  0.0000    ,  50.000                                  
   2,   1,   5,  0.0000    ,  22.625                                  
   2,   1,   6,  0.0000    ,  0.0000                                  
   2,   1,   7,  0.0000    ,  37.775                                  
   2,   1,   8,  0.0000    ,  17.000                                  
   2,   1,   9,  0.0000    ,  0.0000                                  
   2,   1,  10,  0.0000    ,  25.350                                  
   2,   1,  11,  50.000    ,  50.000                                  
   2,   1,  12,  50.000    ,  0.0000                                  
   2,   1,  13,  50.000    ,  50.000                                  
   2,   1,  14,  50.000    ,  42.703                                  
   2,   1,  15,  50.000    ,  0.0000                                  
   2,   1,  16,  50.000    ,  0.0000                                  
   2,   1,  17,  50.000    ,  0.0000                                  
   2,   1,  18,  50.000    ,  0.0000                                  
   2,   1,  19,  0.0000    ,  22.125                                  
   2,   1,  20,  33.775    ,  0.0000                                  
   2,   1,  21,  0.0000    ,  16.300                                  
   2,   1,  22,  0.0000    ,  34.050                                  
   2,   1,  23,  8.9500    ,  0.0000                                  
   2,   1,  24,  33.275    ,  0.0000                                  
   3,   1,   1,  50.000    ,  0.0000                                  
   3,   1,   2,  50.000    ,  0.0000                                  
   3,   1,   3,  0.0000    ,  17.000                                  
   3,   1,   4,  0.0000    ,  4.5500                                  
   3,   1,   5,  0.0000    ,  0.0000                                  
   3,   1,   6,  0.0000    ,  25.350                                  
   3,   1,   7,  0.0000    ,  0.0000                                  
   3,   1,   8,  41.875    ,  0.0000                                  
   3,   1,   9,  0.0000    ,  33.275                                  
   3,   1,  10,  0.0000    ,  1.7000                                  
   3,   1,  11,  28.000    ,  0.0000                                  
   3,   1,  12,  25.179    ,  0.0000                                  
   3,   1,  13,  0.0000    ,  37.775                                  
   3,   1,  14,  30.775    ,  0.0000                                  
   3,   1,  15,  32.025    ,  0.0000                                  
   3,   1,  16,  0.0000    ,  16.300                                  
   3,   1,  17,  13.696    ,  8.4287                                  
   3,   1,  18,  36.600    ,  0.0000                                  
   3,   1,  19,  0.0000    ,  0.0000                                  
   3,   1,  20,  34.050    ,  0.0000                                  
   3,   1,  21,  22.625    ,  0.0000                                  
   3,   1,  22,  0.0000    ,  0.0000                                  
   3,   1,  23,  33.775    ,  0.0000                                  
   3,   1,  24,  33.400    ,  0.0000                                  
   4,   1,   1,  0.0000    ,  0.0000                                  
   4,   1,   2,  0.0000    ,  41.875                                  
   4,   1,   3,  22.625    ,  0.0000                                  
   4,   1,   4,  4.5500    ,  0.0000                                  
   4,   1,   5,  0.0000    ,  32.025                                  
   4,   1,   6,  0.0000    ,  0.0000                                  
   4,   1,   7,  17.000    ,  0.0000                                  
   4,   1,   8,  37.775    ,  0.0000                                  
   4,   1,   9,  0.0000    ,  0.0000                                  
   4,   1,  10,  8.4000    ,  26.700                                  
   4,   1,  11,  25.350    ,  0.0000                                  
   4,   1,  12,  0.0000    ,  0.0000                                  
   4,   1,  13,  0.0000    ,  1.7000                                  
   4,   1,  14,  0.0000    ,  0.0000                                  
   4,   1,  15,  34.050    ,  0.0000                                  
   4,   1,  16,  30.775    ,  0.0000                                  
   4,   1,  17,  28.000    ,  0.0000                                  
   4,   1,  18,  33.775    ,  0.0000                                  
   4,   1,  19,  16.300    ,  0.0000                                  
   4,   1,  20,  33.400    ,  0.0000                                  
   4,   1,  21,  36.600    ,  0.0000                                  
   4,   1,  22,  22.125    ,  0.0000                                  
   4,   1,  23,  0.0000    ,  0.0000                                  
   4,   1,  24,  33.275    ,  0.0000                                  
   5,   1,   1,  0.0000    ,  35.100                                  
   5,   1,   2,  0.0000    ,  0.0000                                  
   5,   1,   3,  0.0000    ,  17.000                                  
   5,   1,   4,  4.5500    ,  0.0000                                  
   5,   1,   5,  0.0000    ,  0.0000                                  
   5,   1,   6,  0.0000    ,  25.350                                  
   5,   1,   7,  0.0000    ,  0.0000                                  
   5,   1,   8,  41.875    ,  0.0000                                  
   5,   1,   9,  33.275    ,  0.0000                                  
   5,   1,  10,  1.7000    ,  0.0000                                  
   5,   1,  11,  0.0000    ,  28.000                                  
   5,   1,  12,  0.0000    ,  0.0000                                  
   5,   1,  13,  37.775    ,  0.0000                                  
   5,   1,  14,  0.0000    ,  30.775                                  
   5,   1,  15,  32.025    ,  0.0000                                  
   5,   1,  16,  2.2250    ,  14.075                                  
   5,   1,  17,  22.125    ,  0.0000                                  
   5,   1,  18,  36.600    ,  0.0000                                  
   5,   1,  19,  0.0000    ,  0.0000                                  
   5,   1,  20,  34.050    ,  0.0000                                  
   5,   1,  21,  22.625    ,  0.0000                                  
   5,   1,  22,  0.0000    ,  0.0000                                  
   5,   1,  23,  33.775    ,  0.0000                                  
   5,   1,  24,  33.400    ,  0.0000                                  
   6,   1,   1,  50.000    ,  0.0000                                  
   6,   1,   2,  50.000    ,  0.0000                                  
   6,   1,   3,  0.0000    ,  22.625                                  
   6,   1,   4,  0.0000    ,  4.5500                                  
   6,   1,   5,  0.0000    ,  32.025                                  
   6,   1,   6,  0.0000    ,  0.0000                                  
   6,   1,   7,  0.0000    ,  17.000                                  
   6,   1,   8,  37.775    ,  0.0000                                  
   6,   1,   9,  0.0000    ,  0.0000                                  
   6,   1,  10,  0.0000    ,  35.100                                  
   6,   1,  11,  0.0000    ,  25.350                                  
   6,   1,  12,  0.0000    ,  0.0000                                  
   6,   1,  13,  43.912    ,  0.0000                                  
   6,   1,  14,  0.0000    ,  0.0000                                  
   6,   1,  15,  0.0000    ,  34.050                                  
   6,   1,  16,  30.775    ,  0.0000                                  
   6,   1,  17,  28.000    ,  0.0000                                  
   6,   1,  18,  1.8384    ,  31.937                                  
   6,   1,  19,  16.300    ,  0.0000                                  
   6,   1,  20,  33.400    ,  0.0000                                  
   6,   1,  21,  36.600    ,  0.0000                                  
   6,   1,  22,  22.125    ,  0.0000                                  
   6,   1,  23,  0.0000    ,  0.0000                                  
   6,   1,  24,  33.275    ,  0.0000                                  
   7,   1,   1,  50.000    ,  0.0000                                  
   7,   1,   2,  50.000    ,  0.0000                                  
