 Generation (GWh) - S1          
                                                                                                                                                      
 Year,Plant,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total

2016,H1          ,3.96818, 3.2256, 2.6784,  2.304, 2.0832,  2.304,2.48495,1.59216, 1.6272,2.78256,   1.44,2.48496,  28.97519
    ,H2          ,2.88095, 2.6204,.895158, 0.6138,.931865,1.21582,1.06729,1.42291, 1.2921, 0.2325, 1.4778,1.17516,  15.82575                                                                                                                                                      

    ,Fuel1       ,14.1021,13.0777,17.3776,17.3576,17.9361,16.7555, 17.399,17.9361,17.3561,17.9361,17.3576,17.2911,  201.8824
    ,Fuel2       ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.                                                                                                                                                      

    ,Total Hydro ,6.84913,  5.846,3.57356, 2.9178,3.01506,3.51982,3.55224,3.01507, 2.9193,3.01506, 2.9178,3.66012,  44.80095
    ,Total Therm ,14.1021,13.0777,17.3776,17.3576,17.9361,16.7555, 17.399,17.9361,17.3561,17.9361,17.3576,17.2911,  201.8824
    ,Total Renew ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Batt. ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Inject,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Gener ,20.9512,18.9237,20.9512,20.2754,20.9512,20.2754,20.9512,20.9512,20.2754,20.9512,20.2754,20.9512,  246.6834
    ,Excess Gener,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Imports     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Exports     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Losses      ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Load        ,20.9511,18.9237,20.9511,20.2754,20.9511,20.2754,20.9511,20.9511,20.2754,20.9511,20.2754,20.9511,  246.6832
    ,Spot Market ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Deficit     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.                                                                                                                                                      
