Varies per block?       ,    0,Unit    ,hm3    ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,H1          ,H2                                        
   1,   1,   1,  0.0000    ,  0.0000                                  
   2,   1,   1,  0.0000    ,  0.0000                                  
   3,   1,   1,  0.0000    ,  0.0000                                  
   4,   1,   1,  0.0000    ,  16.519                                  
   5,   1,   1,  0.0000    ,  11.532                                  
   6,   1,   1,  0.0000    ,  0.0000                                  
   7,   1,   1,  0.0000    ,  0.0000                                  
   8,   1,   1,  0.0000    ,  2.5592                                  
   9,   1,   1,  0.0000    ,  0.0000                                  
  10,   1,   1,  0.0000    ,  32.654                                  
  11,   1,   1,  0.0000    ,  19.469                                  
  12,   1,   1,  0.0000    ,  0.0000                                  
