 1/2010      1      2
 1/2010   13.55.71896
 2/2010   40.728.1073
 3/2010   28.821.1711
 4/2010   25.616.2473
 5/2010   23.8 20.133
 6/2010   27.818.3154
 7/2010   28.813.3825
 8/2010   18.8 17.108
 9/2010   18.2 15.648
10/2010   29.613.3365
11/2010   17.715.8178
12/2010   26.32.10155
 1/2011     8..693313
 2/2011    24. 19.497
 3/2011    18.6.01578
 4/2011    16.10.6354
 5/2011    14.4.40073
 6/2011    16.3.99412
 7/2011   16.77.17256
 8/2011   10.7 10.518
 9/2011   11.37.98555
10/2011   18.713.7541
11/2011    10.5.17567
12/2011   16.7.628732
 1/2012    7.36.15131
 2/2012   14.53.68121
 3/2012   12.9 10.854
 4/2012   13.312.6648
 5/2012    9.3.648408
 6/2012   12.36.13718
 7/2012   10.42.87752
 8/2012    7.91.02835
 9/2012    9.98.80801
10/2012   12.910.9197
11/2012    6.55.88451
12/2012   13.33.99649
 1/2013   16.5 8.9703
 2/2013   49.536.2281
 3/2013    39.38.1136
 4/2013   34.512.5148
 5/2013    30.14.7665
 6/2013    33.28.7456
 7/2013   34.55.48939
 8/2013   22.59.48358
 9/2013    24.8.91974
10/2013   40.519.4431
11/2013   19.5 14.273
12/2013   37.5 27.897
 1/2014   18.217.6747
 2/2014   81.753.1608
 3/2014   54.644.8203
 4/2014   41.435.9975
 5/2014    45.28.4396
 6/2014   42.914.0876
 7/2014   55.232.5485
 8/2014   30.417.4434
 9/2014   27.625.3591
10/2014   58.739.4814
11/2014   30.25.96231
12/2014   46.918.3895
 1/2015    15.11.2567
 2/2015    50.20.5757
 3/2015    30.19.7771
 4/2015    27.5.43988
 5/2015    26.18.6887
 6/2015    31.20.8014
 7/2015    38.20.3121
 8/2015    22.20.9843
 9/2015    24.14.7459
10/2015    32.5.06022
11/2015    20.16.8758
12/2015    30.25.6565
