Varies per block?       ,    0,Unit    ,k$     ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,Cost: Total operating                                  
   1,   1,   1,                150.3                                  
   2,   1,   1,               137.05                                  
   3,   1,   1,               147.86                                  
   4,   1,   1,               147.51                                  
   5,   1,   1,               153.66                                  
   6,   1,   1,               140.82                                  
   7,   1,   1,               153.49                                  
   8,   1,   1,               146.49                                  
   9,   1,   1,               138.86                                  
  10,   1,   1,               145.97                                  
  11,   1,   1,               158.18                                  
  12,   1,   1,               147.58                                  
