Varies per block?       ,    1,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,S1                                                     
   1,   1,   1, 0.99262                                               
   1,   1,   2, 0.68525                                               
   1,   1,   3, 0.88040                                               
   1,   1,   4, 0.80321                                               
   1,   1,   5, 0.63085                                               
   1,   1,   6, 0.93217                                               
   1,   1,   7, 0.75609                                               
   1,   1,   8,  1.0346                                               
   1,   1,   9, 0.98131                                               
   1,   1,  10, 0.78554                                               
   1,   1,  11, 0.94860                                               
   1,   1,  12, 0.64775                                               
   1,   1,  13,  1.0092                                               
   1,   1,  14, 0.96580                                               
   1,   1,  15, 0.97356                                               
   1,   1,  16, 0.87606                                               
   1,   1,  17, 0.91217                                               
   1,   1,  18,  1.0019                                               
   1,   1,  19, 0.63627                                               
   1,   1,  20, 0.98611                                               
   1,   1,  21, 0.91527                                               
   1,   1,  22, 0.62992                                               
   1,   1,  23, 0.98440                                               
   1,   1,  24, 0.98208                                               
   2,   1,   1, 0.58506                                               
   2,   1,   2, 0.87234                                               
   2,   1,   3, 0.68292                                               
   2,   1,   4, 0.88704                                               
   2,   1,   5, 0.82670                                               
   2,   1,   6, 0.61894                                               
   2,   1,   7, 0.91154                                               
   2,   1,   8, 0.79520                                               
   2,   1,   9, 0.56980                                               
   2,   1,  10, 0.84196                                               
   2,   1,  11, 0.72548                                               
   2,   1,  12, 0.89656                                               
   2,   1,  13, 0.93450                                               
   2,   1,  14, 0.70952                                               
   2,   1,  15, 0.87934                                               
   2,   1,  16, 0.85680                                               
   2,   1,  17, 0.90496                                               
   2,   1,  18, 0.57470                                               
   2,   1,  19, 0.82390                                               
   2,   1,  20, 0.88914                                               
   2,   1,  21, 0.79128                                               
   2,   1,  22, 0.89068                                               
   2,   1,  23, 0.56896                                               
   2,   1,  24, 0.88634                                               
   3,   1,   1, 0.99262                                               
   3,   1,   2, 0.68525                                               
   3,   1,   3, 0.88040                                               
   3,   1,   4, 0.80321                                               
   3,   1,   5, 0.63085                                               
   3,   1,   6, 0.93217                                               
   3,   1,   7, 0.75609                                               
   3,   1,   8,  1.0346                                               
   3,   1,   9, 0.98131                                               
   3,   1,  10, 0.78554                                               
   3,   1,  11, 0.94860                                               
   3,   1,  12, 0.64775                                               
   3,   1,  13,  1.0092                                               
   3,   1,  14, 0.96580                                               
   3,   1,  15, 0.97356                                               
   3,   1,  16, 0.87606                                               
   3,   1,  17, 0.91217                                               
   3,   1,  18,  1.0019                                               
   3,   1,  19, 0.63627                                               
   3,   1,  20, 0.98611                                               
   3,   1,  21, 0.91527                                               
   3,   1,  22, 0.62992                                               
   3,   1,  23, 0.98440                                               
   3,   1,  24, 0.98208                                               
   4,   1,   1, 0.60960                                               
   4,   1,   2,  1.0013                                               
   4,   1,   3, 0.88575                                               
   4,   1,   4, 0.77730                                               
   4,   1,   5, 0.94215                                               
   4,   1,   6, 0.66315                                               
   4,   1,   7, 0.85200                                               
   4,   1,   8, 0.97665                                               
   4,   1,   9, 0.73170                                               
   4,   1,  10, 0.96060                                               
   4,   1,  11, 0.90210                                               
   4,   1,  12, 0.62685                                               
   4,   1,  13, 0.76020                                               
   4,   1,  14, 0.61575                                               
   4,   1,  15, 0.95430                                               
   4,   1,  16, 0.93465                                               
   4,   1,  17, 0.91800                                               
   4,   1,  18, 0.95265                                               
   4,   1,  19, 0.84780                                               
   4,   1,  20, 0.95040                                               
   4,   1,  21, 0.96960                                               
   4,   1,  22, 0.88275                                               
   4,   1,  23, 0.61050                                               
   4,   1,  24, 0.94965                                               
   5,   1,   1, 0.99262                                               
   5,   1,   2, 0.68525                                               
   5,   1,   3, 0.88040                                               
   5,   1,   4, 0.80321                                               
   5,   1,   5, 0.63085                                               
   5,   1,   6, 0.93217                                               
   5,   1,   7, 0.75609                                               
   5,   1,   8,  1.0346                                               
   5,   1,   9, 0.98131                                               
   5,   1,  10, 0.78554                                               
   5,   1,  11, 0.94860                                               
   5,   1,  12, 0.64775                                               
   5,   1,  13,  1.0092                                               
   5,   1,  14, 0.96580                                               
   5,   1,  15, 0.97356                                               
   5,   1,  16, 0.87606                                               
   5,   1,  17, 0.91217                                               
   5,   1,  18,  1.0019                                               
   5,   1,  19, 0.63627                                               
   5,   1,  20, 0.98611                                               
   5,   1,  21, 0.91527                                               
   5,   1,  22, 0.62992                                               
   5,   1,  23, 0.98440                                               
   5,   1,  24, 0.98208                                               
   6,   1,   1, 0.60960                                               
   6,   1,   2,  1.0013                                               
   6,   1,   3, 0.88575                                               
   6,   1,   4, 0.77730                                               
   6,   1,   5, 0.94215                                               
   6,   1,   6, 0.66315                                               
   6,   1,   7, 0.85200                                               
   6,   1,   8, 0.97665                                               
   6,   1,   9, 0.73170                                               
   6,   1,  10, 0.96060                                               
   6,   1,  11, 0.90210                                               
   6,   1,  12, 0.62685                                               
   6,   1,  13, 0.76020                                               
   6,   1,  14, 0.61575                                               
   6,   1,  15, 0.95430                                               
   6,   1,  16, 0.93465                                               
   6,   1,  17, 0.91800                                               
   6,   1,  18, 0.95265                                               
   6,   1,  19, 0.84780                                               
   6,   1,  20, 0.95040                                               
   6,   1,  21, 0.96960                                               
   6,   1,  22, 0.88275                                               
   6,   1,  23, 0.61050                                               
   6,   1,  24, 0.94965                                               
   7,   1,   1, 0.99262                                               
   7,   1,   2, 0.68525                                               
   7,   1,   3, 0.88040                                               
   7,   1,   4, 0.80321                                               
   7,   1,   5, 0.63085                                               
   7,   1,   6, 0.93217                                               
   7,   1,   7, 0.75609                                               
   7,   1,   8,  1.0346                                               
   7,   1,   9, 0.98131                                               
   7,   1,  10, 0.78554                                               
   7,   1,  11, 0.94860                                               
   7,   1,  12, 0.64775                                               
   7,   1,  13,  1.0092                                               
   7,   1,  14, 0.96580                                               
   7,   1,  15, 0.97356                                               
   7,   1,  16, 0.87606                                               
   7,   1,  17, 0.91217                                               
   7,   1,  18,  1.0019                                               
   7,   1,  19, 0.63627                                               
   7,   1,  20, 0.98611                                               
   7,   1,  21, 0.91527                                               
   7,   1,  22, 0.62992                                               
   7,   1,  23, 0.98440                                               
   7,   1,  24, 0.98208                                               
   8,   1,   1, 0.99262                                               
   8,   1,   2, 0.68525                                               
   8,   1,   3, 0.88040                                               
   8,   1,   4, 0.80321                                               
   8,   1,   5, 0.63085                                               
   8,   1,   6, 0.93217                                               
   8,   1,   7, 0.75609                                               
   8,   1,   8,  1.0346                                               
   8,   1,   9, 0.98131                                               
   8,   1,  10, 0.78554                                               
   8,   1,  11, 0.94860                                               
   8,   1,  12, 0.64775                                               
   8,   1,  13,  1.0092                                               
   8,   1,  14, 0.96580                                               
   8,   1,  15, 0.97356                                               
   8,   1,  16, 0.87606                                               
   8,   1,  17, 0.91217                                               
   8,   1,  18,  1.0019                                               
   8,   1,  19, 0.63627                                               
   8,   1,  20, 0.98611                                               
   8,   1,  21, 0.91527                                               
   8,   1,  22, 0.62992                                               
   8,   1,  23, 0.98440                                               
   8,   1,  24, 0.98208                                               
   9,   1,   1, 0.60960                                               
   9,   1,   2,  1.0013                                               
