Varies per block?       ,    3,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,S1                                                     
   1,   1,   1,  1.2936                                               
   2,   1,   1,  5.8460                                               
   3,   1,   1,  3.5735                                               
   4,   1,   1,  3.8355                                               
   5,   1,   1,  2.7380                                               
   6,   1,   1,  2.8792                                               
   7,   1,   1,  3.5522                                               
   8,   1,   1,  3.1572                                               
   9,   1,   1,  2.7771                                               
  10,   1,   1,  4.8292                                               
  11,   1,   1,  2.1853                                               
  12,   1,   1,  2.5785                                               
