Varies per block?       ,    0,Unit    ,k$     ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,Cost: Total operating                                  
   1,   1,   1,               112.82                                  
   2,   1,   1,               104.62                                  
   3,   1,   1,               139.02                                  
   4,   1,   1,               138.86                                  
   5,   1,   1,               143.49                                  
   6,   1,   1,               134.04                                  
   7,   1,   1,               139.19                                  
   8,   1,   1,               143.49                                  
   9,   1,   1,               138.85                                  
  10,   1,   1,               143.49                                  
  11,   1,   1,               138.86                                  
  12,   1,   1,               138.33                                  
