 Generation (GWh) - Total
 
Stage,Total Hydro,Total Therm.,Total Renew,Total Batt,Total Inject,Deficit
"2016/01",        6.85,       14.10,        0.00,        0.00,        0.00,        0.00
"2016/02",        5.85,       13.08,        0.00,        0.00,        0.00,        0.00
"2016/03",        3.57,       17.38,        0.00,        0.00,        0.00,        0.00
"2016/04",        2.92,       17.36,        0.00,        0.00,        0.00,        0.00
"2016/05",        3.02,       17.94,        0.00,        0.00,        0.00,        0.00
"2016/06",        3.52,       16.76,        0.00,        0.00,        0.00,        0.00
"2016/07",        3.55,       17.40,        0.00,        0.00,        0.00,        0.00
"2016/08",        3.02,       17.94,        0.00,        0.00,        0.00,        0.00
"2016/09",        2.92,       17.36,        0.00,        0.00,        0.00,        0.00
"2016/10",        3.02,       17.94,        0.00,        0.00,        0.00,        0.00
"2016/11",        2.92,       17.36,        0.00,        0.00,        0.00,        0.00
"2016/12",        3.66,       17.29,        0.00,        0.00,        0.00,        0.00
