Varies per block?       ,    0,Unit    ,k$     ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    3                                        
Stag,Seq.,Blck,P10         ,Average     ,P90                          
   1,   1,   1,      179.67,      179.67,      179.67                 
   2,   1,   1,      162.28,      162.28,      162.28                 
   3,   1,   1,      179.67,      179.67,      179.67                 
   4,   1,   1,      173.87,      173.87,      173.87                 
   5,   1,   1,      179.67,      179.67,      179.67                 
   6,   1,   1,      173.87,      173.87,      173.87                 
   7,   1,   1,      179.67,      179.67,      179.67                 
   8,   1,   1,      179.67,      179.67,      179.67                 
   9,   1,   1,      173.87,      173.87,      173.87                 
  10,   1,   1,      179.67,      179.67,      179.67                 
  11,   1,   1,      173.87,      173.87,      173.87                 
  12,   1,   1,      179.67,      179.67,      179.67                 
