 Generation (GWh) - S1          
                                                                                                                                                      
 Year,Plant,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total

2016,Fuel1       ,17.9361,16.2004,17.9361,17.3576,17.9361,17.3576,17.9361,17.9361,17.3576,17.9361,17.3576,17.9361,  211.1835
    ,Fuel2       ,3.01506,2.72328,3.01506, 2.9178,3.01506, 2.9178,3.01506,3.01506, 2.9178,3.01506, 2.9178,3.01506,   35.4999                                                                                                                                                      

    ,Total Hydro ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Therm ,20.9512,18.9237,20.9512,20.2754,20.9512,20.2754,20.9512,20.9512,20.2754,20.9512,20.2754,20.9512,  246.6834
    ,Total Renew ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Batt. ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Inject,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Gener ,20.9512,18.9237,20.9512,20.2754,20.9512,20.2754,20.9512,20.9512,20.2754,20.9512,20.2754,20.9512,  246.6834
    ,Excess Gener,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Imports     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Exports     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Losses      ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Load        ,20.9511,18.9237,20.9511,20.2754,20.9511,20.2754,20.9511,20.9511,20.2754,20.9511,20.2754,20.9511,  246.6832
    ,Spot Market ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Deficit     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.                                                                                                                                                      
