Section,Total time [s],Self time [s],Count
Main,1.28,0.08,1
Simulation,0.12,0.09,1
Solver initialization,0.01,0.01,12
Solver load,0.,0.,12
Solver solve,0.,0.,12
B matrix calculation,0.,0.,12
Network solution,0.,0.,288
Flows calculation,0.,0.,288
SDDP: load study,0.09,0.09,4
SDDP: update stage,0.,0.,36
SDDP: update scenario,0.,0.,36
PSRClasses: load study,0.25,0.25,2
PSRClasses: update stage,0.01,0.01,72
Simulation statistics,0.74,0.04,1
Post-processing (PSRIO),0.69,0.69,1
PSRNetwork: solveB,0.,0.,288
PSRNetwork: other,0.,0.,1165
Check Cut,0.,0.,12
