Varies per block?       ,    1,Unit    ,k$     ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,T1          ,T2                                        
   1,   1,   1,  6.2000    ,  4.9937                                  
   1,   1,   2,  6.2000    , 0.56767                                  
   1,   1,   3,  6.2000    ,  3.3778                                  
   1,   1,   4,  6.2000    ,  2.2662                                  
   1,   1,   5,  6.0562    ,  0.0000                                  
   1,   1,   6,  6.2000    ,  4.1232                                  
   1,   1,   7,  6.2000    ,  1.5877                                  
   1,   1,   8,  6.2000    ,  5.5800                                  
   1,   1,   9,  6.2000    ,  4.8308                                  
   1,   1,  10,  6.2000    ,  2.0118                                  
   1,   1,  11,  6.2000    ,  4.3598                                  
   1,   1,  12,  6.2000    , 0.27528E-01                              
   1,   1,  13,  6.2000    ,  5.2326                                  
   1,   1,  14,  6.2000    ,  4.6076                                  
   1,   1,  15,  6.2000    ,  4.7192                                  
   1,   1,  16,  6.2000    ,  3.3153                                  
   1,   1,  17,  6.2000    ,  3.8353                                  
   1,   1,  18,  6.2000    ,  5.1276                                  
   1,   1,  19,  6.1082    ,  0.0000                                  
   1,   1,  20,  6.2000    ,  4.9000                                  
   1,   1,  21,  6.2000    ,  3.8800                                  
   1,   1,  22,  6.0472    ,  0.0000                                  
   1,   1,  23,  6.2000    ,  4.8754                                  
   1,   1,  24,  6.2000    ,  4.8420                                  
   2,   1,   1,  5.6000    , 0.24864E-01                              
   2,   1,   2,  5.6000    ,  4.1617                                  
   2,   1,   3,  5.6000    ,  1.4340                                  
   2,   1,   4,  5.6000    ,  4.3734                                  
   2,   1,   5,  5.6000    ,  3.5045                                  
   2,   1,   6,  5.6000    , 0.51274                                  
   2,   1,   7,  5.6000    ,  4.7262                                  
   2,   1,   8,  5.6000    ,  3.0509                                  
   2,   1,   9,  5.4701    ,  0.0000                                  
   2,   1,  10,  5.6000    ,  3.7242                                  
   2,   1,  11,  5.6000    ,  2.0469                                  
   2,   1,  12,  5.6000    ,  4.5105                                  
   2,   1,  13,  5.6000    ,  5.0400                                  
   2,   1,  14,  5.6000    ,  1.8171                                  
   2,   1,  15,  5.6000    ,  4.2625                                  
   2,   1,  16,  5.6000    ,  3.9379                                  
   2,   1,  17,  5.6000    ,  4.6314                                  
   2,   1,  18,  5.5171    ,  0.0000                                  
   2,   1,  19,  5.6000    ,  3.4642                                  
   2,   1,  20,  5.6000    ,  4.4036                                  
   2,   1,  21,  5.6000    ,  2.9944                                  
   2,   1,  22,  5.6000    ,  4.4258                                  
   2,   1,  23,  5.4620    ,  0.0000                                  
   2,   1,  24,  5.6000    ,  4.3633                                  
   3,   1,   1,  6.2000    ,  4.9937                                  
   3,   1,   2,  6.2000    , 0.56767                                  
   3,   1,   3,  6.2000    ,  3.3778                                  
   3,   1,   4,  6.2000    ,  2.2662                                  
   3,   1,   5,  6.0562    ,  0.0000                                  
   3,   1,   6,  6.2000    ,  4.1232                                  
   3,   1,   7,  6.2000    ,  1.5877                                  
   3,   1,   8,  6.2000    ,  5.5800                                  
   3,   1,   9,  6.2000    ,  4.8308                                  
   3,   1,  10,  6.2000    ,  2.0118                                  
   3,   1,  11,  6.2000    ,  4.3598                                  
   3,   1,  12,  6.2000    , 0.27528E-01                              
   3,   1,  13,  6.2000    ,  5.2326                                  
   3,   1,  14,  6.2000    ,  4.6076                                  
   3,   1,  15,  6.2000    ,  4.7192                                  
   3,   1,  16,  6.2000    ,  3.3153                                  
   3,   1,  17,  6.2000    ,  3.8353                                  
   3,   1,  18,  6.2000    ,  5.1276                                  
   3,   1,  19,  6.1082    ,  0.0000                                  
   3,   1,  20,  6.2000    ,  4.9000                                  
   3,   1,  21,  6.2000    ,  3.8800                                  
   3,   1,  22,  6.0472    ,  0.0000                                  
   3,   1,  23,  6.2000    ,  4.8754                                  
   3,   1,  24,  6.2000    ,  4.8420                                  
   4,   1,   1,  5.8522    ,  0.0000                                  
   4,   1,   2,  6.0000    ,  5.4000                                  
   4,   1,   3,  6.0000    ,  3.7548                                  
   4,   1,   4,  6.0000    ,  2.1931                                  
   4,   1,   5,  6.0000    ,  4.5670                                  
   4,   1,   6,  6.0000    , 0.54936                                  
   4,   1,   7,  6.0000    ,  3.2688                                  
   4,   1,   8,  6.0000    ,  5.0638                                  
   4,   1,   9,  6.0000    ,  1.5365                                  
   4,   1,  10,  6.0000    ,  4.8326                                  
   4,   1,  11,  6.0000    ,  3.9902                                  
   4,   1,  12,  6.0000    , 0.26640E-01                              
   4,   1,  13,  6.0000    ,  1.9469                                  
   4,   1,  14,  5.9112    ,  0.0000                                  
   4,   1,  15,  6.0000    ,  4.7419                                  
   4,   1,  16,  6.0000    ,  4.4590                                  
   4,   1,  17,  6.0000    ,  4.2192                                  
   4,   1,  18,  6.0000    ,  4.7182                                  
   4,   1,  19,  6.0000    ,  3.2083                                  
   4,   1,  20,  6.0000    ,  4.6858                                  
   4,   1,  21,  6.0000    ,  4.9622                                  
   4,   1,  22,  6.0000    ,  3.7116                                  
   4,   1,  23,  5.8608    ,  0.0000                                  
   4,   1,  24,  6.0000    ,  4.6750                                  
   5,   1,   1,  6.2000    ,  4.9937                                  
   5,   1,   2,  6.2000    , 0.56767                                  
   5,   1,   3,  6.2000    ,  3.3778                                  
   5,   1,   4,  6.2000    ,  2.2662                                  
   5,   1,   5,  6.0562    ,  0.0000                                  
   5,   1,   6,  6.2000    ,  4.1232                                  
   5,   1,   7,  6.2000    ,  1.5877                                  
   5,   1,   8,  6.2000    ,  5.5800                                  
   5,   1,   9,  6.2000    ,  4.8308                                  
   5,   1,  10,  6.2000    ,  2.0118                                  
   5,   1,  11,  6.2000    ,  4.3598                                  
   5,   1,  12,  6.2000    , 0.27528E-01                              
   5,   1,  13,  6.2000    ,  5.2326                                  
   5,   1,  14,  6.2000    ,  4.6076                                  
   5,   1,  15,  6.2000    ,  4.7192                                  
   5,   1,  16,  6.2000    ,  3.3153                                  
   5,   1,  17,  6.2000    ,  3.8353                                  
   5,   1,  18,  6.2000    ,  5.1276                                  
   5,   1,  19,  6.1082    ,  0.0000                                  
   5,   1,  20,  6.2000    ,  4.9000                                  
   5,   1,  21,  6.2000    ,  3.8800                                  
   5,   1,  22,  6.0472    ,  0.0000                                  
   5,   1,  23,  6.2000    ,  4.8754                                  
   5,   1,  24,  6.2000    ,  4.8420                                  
   6,   1,   1,  5.8522    ,  0.0000                                  
   6,   1,   2,  6.0000    ,  5.4000                                  
   6,   1,   3,  6.0000    ,  3.7548                                  
   6,   1,   4,  6.0000    ,  2.1931                                  
   6,   1,   5,  6.0000    ,  4.5670                                  
   6,   1,   6,  6.0000    , 0.54936                                  
   6,   1,   7,  6.0000    ,  3.2688                                  
   6,   1,   8,  6.0000    ,  5.0638                                  
   6,   1,   9,  6.0000    ,  1.5365                                  
   6,   1,  10,  6.0000    ,  4.8326                                  
   6,   1,  11,  6.0000    ,  3.9902                                  
   6,   1,  12,  6.0000    , 0.26640E-01                              
   6,   1,  13,  6.0000    ,  1.9469                                  
   6,   1,  14,  5.9112    ,  0.0000                                  
   6,   1,  15,  6.0000    ,  4.7419                                  
   6,   1,  16,  6.0000    ,  4.4590                                  
   6,   1,  17,  6.0000    ,  4.2192                                  
   6,   1,  18,  6.0000    ,  4.7182                                  
   6,   1,  19,  6.0000    ,  3.2083                                  
   6,   1,  20,  6.0000    ,  4.6858                                  
   6,   1,  21,  6.0000    ,  4.9622                                  
   6,   1,  22,  6.0000    ,  3.7116                                  
   6,   1,  23,  5.8608    ,  0.0000                                  
   6,   1,  24,  6.0000    ,  4.6750                                  
   7,   1,   1,  6.2000    ,  4.9937                                  
   7,   1,   2,  6.2000    , 0.56767                                  
   7,   1,   3,  6.2000    ,  3.3778                                  
   7,   1,   4,  6.2000    ,  2.2662                                  
   7,   1,   5,  6.0562    ,  0.0000                                  
   7,   1,   6,  6.2000    ,  4.1232                                  
   7,   1,   7,  6.2000    ,  1.5877                                  
   7,   1,   8,  6.2000    ,  5.5800                                  
   7,   1,   9,  6.2000    ,  4.8308                                  
   7,   1,  10,  6.2000    ,  2.0118                                  
   7,   1,  11,  6.2000    ,  4.3598                                  
   7,   1,  12,  6.2000    , 0.27528E-01                              
   7,   1,  13,  6.2000    ,  5.2326                                  
   7,   1,  14,  6.2000    ,  4.6076                                  
   7,   1,  15,  6.2000    ,  4.7192                                  
   7,   1,  16,  6.2000    ,  3.3153                                  
