Varies per block?       ,    1,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,S1                                                     
   1,   1,   1,  1.1911                                               
   1,   1,   2, 0.82231                                               
   1,   1,   3,  1.0565                                               
   1,   1,   4, 0.96385                                               
   1,   1,   5, 0.75702                                               
   1,   1,   6,  1.1186                                               
   1,   1,   7, 0.90731                                               
   1,   1,   8,  1.2415                                               
   1,   1,   9,  1.1776                                               
   1,   1,  10, 0.94265                                               
   1,   1,  11,  1.1383                                               
   1,   1,  12, 0.77729                                               
   1,   1,  13,  1.2110                                               
   1,   1,  14,  1.1590                                               
   1,   1,  15,  1.1683                                               
   1,   1,  16,  1.0513                                               
   1,   1,  17,  1.0946                                               
   1,   1,  18,  1.2023                                               
   1,   1,  19, 0.76353                                               
   1,   1,  20,  1.1833                                               
   1,   1,  21,  1.0983                                               
   1,   1,  22, 0.75590                                               
   1,   1,  23,  1.1813                                               
   1,   1,  24,  1.1785                                               
   2,   1,   1, 0.70207                                               
   2,   1,   2,  1.0468                                               
   2,   1,   3, 0.81950                                               
   2,   1,   4,  1.0644                                               
   2,   1,   5, 0.99204                                               
   2,   1,   6, 0.74273                                               
   2,   1,   7,  1.0938                                               
   2,   1,   8, 0.95424                                               
   2,   1,   9, 0.68376                                               
   2,   1,  10,  1.0104                                               
   2,   1,  11, 0.87058                                               
   2,   1,  12,  1.0759                                               
   2,   1,  13,  1.1214                                               
   2,   1,  14, 0.85142                                               
   2,   1,  15,  1.0552                                               
   2,   1,  16,  1.0282                                               
   2,   1,  17,  1.0860                                               
   2,   1,  18, 0.68964                                               
   2,   1,  19, 0.98868                                               
   2,   1,  20,  1.0670                                               
   2,   1,  21, 0.94954                                               
   2,   1,  22,  1.0688                                               
   2,   1,  23, 0.68275                                               
   2,   1,  24,  1.0636                                               
   3,   1,   1,  1.1911                                               
   3,   1,   2, 0.82231                                               
   3,   1,   3,  1.0565                                               
   3,   1,   4, 0.96385                                               
   3,   1,   5, 0.75702                                               
   3,   1,   6,  1.1186                                               
   3,   1,   7, 0.90731                                               
   3,   1,   8,  1.2415                                               
   3,   1,   9,  1.1776                                               
   3,   1,  10, 0.94265                                               
   3,   1,  11,  1.1383                                               
   3,   1,  12, 0.77729                                               
   3,   1,  13,  1.2110                                               
   3,   1,  14,  1.1590                                               
   3,   1,  15,  1.1683                                               
   3,   1,  16,  1.0513                                               
   3,   1,  17,  1.0946                                               
   3,   1,  18,  1.2023                                               
   3,   1,  19, 0.76353                                               
   3,   1,  20,  1.1833                                               
   3,   1,  21,  1.0983                                               
   3,   1,  22, 0.75590                                               
   3,   1,  23,  1.1813                                               
   3,   1,  24,  1.1785                                               
   4,   1,   1, 0.73152                                               
   4,   1,   2,  1.2015                                               
   4,   1,   3,  1.0629                                               
   4,   1,   4, 0.93276                                               
   4,   1,   5,  1.1306                                               
   4,   1,   6, 0.79578                                               
   4,   1,   7,  1.0224                                               
   4,   1,   8,  1.1720                                               
   4,   1,   9, 0.87804                                               
   4,   1,  10,  1.1527                                               
   4,   1,  11,  1.0825                                               
   4,   1,  12, 0.75222                                               
   4,   1,  13, 0.91224                                               
   4,   1,  14, 0.73890                                               
   4,   1,  15,  1.1452                                               
   4,   1,  16,  1.1216                                               
   4,   1,  17,  1.1016                                               
   4,   1,  18,  1.1432                                               
   4,   1,  19,  1.0174                                               
   4,   1,  20,  1.1405                                               
   4,   1,  21,  1.1635                                               
   4,   1,  22,  1.0593                                               
   4,   1,  23, 0.73260                                               
   4,   1,  24,  1.1396                                               
   5,   1,   1,  1.1911                                               
   5,   1,   2, 0.82231                                               
   5,   1,   3,  1.0565                                               
   5,   1,   4, 0.96385                                               
   5,   1,   5, 0.75702                                               
   5,   1,   6,  1.1186                                               
   5,   1,   7, 0.90731                                               
   5,   1,   8,  1.2415                                               
   5,   1,   9,  1.1776                                               
   5,   1,  10, 0.94265                                               
   5,   1,  11,  1.1383                                               
   5,   1,  12, 0.77729                                               
   5,   1,  13,  1.2110                                               
   5,   1,  14,  1.1590                                               
   5,   1,  15,  1.1683                                               
   5,   1,  16,  1.0513                                               
   5,   1,  17,  1.0946                                               
   5,   1,  18,  1.2023                                               
   5,   1,  19, 0.76353                                               
   5,   1,  20,  1.1833                                               
   5,   1,  21,  1.0983                                               
   5,   1,  22, 0.75590                                               
   5,   1,  23,  1.1813                                               
   5,   1,  24,  1.1785                                               
   6,   1,   1, 0.73152                                               
   6,   1,   2,  1.2015                                               
   6,   1,   3,  1.0629                                               
   6,   1,   4, 0.93276                                               
   6,   1,   5,  1.1306                                               
   6,   1,   6, 0.79578                                               
   6,   1,   7,  1.0224                                               
   6,   1,   8,  1.1720                                               
   6,   1,   9, 0.87804                                               
   6,   1,  10,  1.1527                                               
   6,   1,  11,  1.0825                                               
   6,   1,  12, 0.75222                                               
   6,   1,  13, 0.91224                                               
   6,   1,  14, 0.73890                                               
   6,   1,  15,  1.1452                                               
   6,   1,  16,  1.1216                                               
   6,   1,  17,  1.1016                                               
   6,   1,  18,  1.1432                                               
   6,   1,  19,  1.0174                                               
   6,   1,  20,  1.1405                                               
   6,   1,  21,  1.1635                                               
   6,   1,  22,  1.0593                                               
   6,   1,  23, 0.73260                                               
   6,   1,  24,  1.1396                                               
   7,   1,   1,  1.1911                                               
   7,   1,   2, 0.82231                                               
   7,   1,   3,  1.0565                                               
   7,   1,   4, 0.96385                                               
   7,   1,   5, 0.75702                                               
   7,   1,   6,  1.1186                                               
   7,   1,   7, 0.90731                                               
   7,   1,   8,  1.2415                                               
   7,   1,   9,  1.1776                                               
   7,   1,  10, 0.94265                                               
   7,   1,  11,  1.1383                                               
   7,   1,  12, 0.77729                                               
   7,   1,  13,  1.2110                                               
   7,   1,  14,  1.1590                                               
   7,   1,  15,  1.1683                                               
   7,   1,  16,  1.0513                                               
   7,   1,  17,  1.0946                                               
   7,   1,  18,  1.2023                                               
   7,   1,  19, 0.76353                                               
   7,   1,  20,  1.1833                                               
   7,   1,  21,  1.0983                                               
   7,   1,  22, 0.75590                                               
   7,   1,  23,  1.1813                                               
   7,   1,  24,  1.1785                                               
   8,   1,   1,  1.1911                                               
   8,   1,   2, 0.82231                                               
   8,   1,   3,  1.0565                                               
   8,   1,   4, 0.96385                                               
   8,   1,   5, 0.75702                                               
   8,   1,   6,  1.1186                                               
   8,   1,   7, 0.90731                                               
   8,   1,   8,  1.2415                                               
   8,   1,   9,  1.1776                                               
   8,   1,  10, 0.94265                                               
   8,   1,  11,  1.1383                                               
   8,   1,  12, 0.77729                                               
   8,   1,  13,  1.2110                                               
   8,   1,  14,  1.1590                                               
   8,   1,  15,  1.1683                                               
   8,   1,  16,  1.0513                                               
   8,   1,  17,  1.0946                                               
   8,   1,  18,  1.2023                                               
   8,   1,  19, 0.76353                                               
   8,   1,  20,  1.1833                                               
   8,   1,  21,  1.0983                                               
   8,   1,  22, 0.75590                                               
   8,   1,  23,  1.1813                                               
   8,   1,  24,  1.1785                                               
   9,   1,   1, 0.73152                                               
   9,   1,   2,  1.2015                                               
   9,   1,   3,  1.0629                                               
   9,   1,   4, 0.93276                                               
   9,   1,   5,  1.1306                                               
   9,   1,   6, 0.79578                                               
   9,   1,   7,  1.0224                                               
   9,   1,   8,  1.1720                                               
   9,   1,   9, 0.87804                                               
   9,   1,  10,  1.1527                                               
   9,   1,  11,  1.0825                                               
   9,   1,  12, 0.75222                                               
   9,   1,  13, 0.91224                                               
   9,   1,  14, 0.73890                                               
   9,   1,  15,  1.1452                                               
   9,   1,  16,  1.1216                                               
   9,   1,  17,  1.1016                                               
   9,   1,  18,  1.1432                                               
   9,   1,  19,  1.0174                                               
   9,   1,  20,  1.1405                                               
   9,   1,  21,  1.1635                                               
   9,   1,  22,  1.0593                                               
   9,   1,  23, 0.73260                                               
   9,   1,  24,  1.1396                                               
  10,   1,   1,  1.1911                                               
  10,   1,   2, 0.82231                                               
  10,   1,   3,  1.0565                                               
  10,   1,   4, 0.96385                                               
  10,   1,   5, 0.75702                                               
  10,   1,   6,  1.1186                                               
  10,   1,   7, 0.90731                                               
  10,   1,   8,  1.2415                                               
  10,   1,   9,  1.1776                                               
  10,   1,  10, 0.94265                                               
  10,   1,  11,  1.1383                                               
  10,   1,  12, 0.77729                                               
  10,   1,  13,  1.2110                                               
  10,   1,  14,  1.1590                                               
  10,   1,  15,  1.1683                                               
  10,   1,  16,  1.0513                                               
  10,   1,  17,  1.0946                                               
  10,   1,  18,  1.2023                                               
  10,   1,  19, 0.76353                                               
  10,   1,  20,  1.1833                                               
  10,   1,  21,  1.0983                                               
  10,   1,  22, 0.75590                                               
  10,   1,  23,  1.1813                                               
  10,   1,  24,  1.1785                                               
  11,   1,   1, 0.73152                                               
  11,   1,   2,  1.2015                                               
  11,   1,   3,  1.0629                                               
  11,   1,   4, 0.93276                                               
  11,   1,   5,  1.1306                                               
  11,   1,   6, 0.79578                                               
  11,   1,   7,  1.0224                                               
  11,   1,   8,  1.1720                                               
  11,   1,   9, 0.87804                                               
  11,   1,  10,  1.1527                                               
  11,   1,  11,  1.0825                                               
  11,   1,  12, 0.75222                                               
  11,   1,  13, 0.91224                                               
  11,   1,  14, 0.73890                                               
  11,   1,  15,  1.1452                                               
  11,   1,  16,  1.1216                                               
  11,   1,  17,  1.1016                                               
  11,   1,  18,  1.1432                                               
  11,   1,  19,  1.0174                                               
  11,   1,  20,  1.1405                                               
  11,   1,  21,  1.1635                                               
  11,   1,  22,  1.0593                                               
  11,   1,  23, 0.73260                                               
  11,   1,  24,  1.1396                                               
  12,   1,   1,  1.1911                                               
  12,   1,   2, 0.82231                                               
  12,   1,   3,  1.0565                                               
  12,   1,   4, 0.96385                                               
  12,   1,   5, 0.75702                                               
  12,   1,   6,  1.1186                                               
  12,   1,   7, 0.90731                                               
  12,   1,   8,  1.2415                                               
  12,   1,   9,  1.1776                                               
  12,   1,  10, 0.94265                                               
  12,   1,  11,  1.1383                                               
  12,   1,  12, 0.77729                                               
  12,   1,  13,  1.2110                                               
  12,   1,  14,  1.1590                                               
  12,   1,  15,  1.1683                                               
  12,   1,  16,  1.0513                                               
  12,   1,  17,  1.0946                                               
  12,   1,  18,  1.2023                                               
  12,   1,  19, 0.76353                                               
  12,   1,  20,  1.1833                                               
  12,   1,  21,  1.0983                                               
  12,   1,  22, 0.75590                                               
  12,   1,  23,  1.1813                                               
  12,   1,  24,  1.1785                                               
