Varies per block?       ,    1,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,T1          ,T2                                        
   1,   1,   1, 0.77500    , 0.41614                                  
   1,   1,   2, 0.77500    , 0.47306E-01                              
   1,   1,   3, 0.77500    , 0.28148                                  
   1,   1,   4, 0.77500    , 0.18885                                  
   1,   1,   5, 0.75702    ,  0.0000                                  
   1,   1,   6, 0.77500    , 0.34360                                  
   1,   1,   7, 0.77500    , 0.13231                                  
   1,   1,   8, 0.77500    , 0.46500                                  
   1,   1,   9, 0.77500    , 0.40257                                  
   1,   1,  10, 0.77500    , 0.16765                                  
   1,   1,  11, 0.77500    , 0.36332                                  
   1,   1,  12, 0.77500    , 0.22940E-02                              
   1,   1,  13, 0.77500    , 0.43605                                  
   1,   1,  14, 0.77500    , 0.38397                                  
   1,   1,  15, 0.77500    , 0.39327                                  
   1,   1,  16, 0.77500    , 0.27627                                  
   1,   1,  17, 0.77500    , 0.31961                                  
   1,   1,  18, 0.77500    , 0.42730                                  
   1,   1,  19, 0.76353    ,  0.0000                                  
   1,   1,  20, 0.77500    , 0.40833                                  
   1,   1,  21, 0.77500    , 0.32333                                  
   1,   1,  22, 0.75590    ,  0.0000                                  
   1,   1,  23, 0.77500    , 0.40629                                  
   1,   1,  24, 0.77500    , 0.40350                                  
   2,   1,   1, 0.70000    , 0.20720E-02                              
   2,   1,   2, 0.70000    , 0.34681                                  
   2,   1,   3, 0.70000    , 0.11950                                  
   2,   1,   4, 0.70000    , 0.36445                                  
   2,   1,   5, 0.70000    , 0.29204                                  
   2,   1,   6, 0.70000    , 0.42728E-01                              
   2,   1,   7, 0.70000    , 0.39385                                  
   2,   1,   8, 0.70000    , 0.25424                                  
   2,   1,   9, 0.68376    ,  0.0000                                  
   2,   1,  10, 0.70000    , 0.31035                                  
   2,   1,  11, 0.70000    , 0.17058                                  
   2,   1,  12, 0.70000    , 0.37587                                  
   2,   1,  13, 0.70000    , 0.42000                                  
   2,   1,  14, 0.70000    , 0.15142                                  
   2,   1,  15, 0.70000    , 0.35521                                  
   2,   1,  16, 0.70000    , 0.32816                                  
   2,   1,  17, 0.70000    , 0.38595                                  
   2,   1,  18, 0.68964    ,  0.0000                                  
   2,   1,  19, 0.70000    , 0.28868                                  
   2,   1,  20, 0.70000    , 0.36697                                  
   2,   1,  21, 0.70000    , 0.24954                                  
   2,   1,  22, 0.70000    , 0.36882                                  
   2,   1,  23, 0.68275    ,  0.0000                                  
   2,   1,  24, 0.70000    , 0.36361                                  
   3,   1,   1, 0.77500    , 0.41614                                  
   3,   1,   2, 0.77500    , 0.47306E-01                              
   3,   1,   3, 0.77500    , 0.28148                                  
   3,   1,   4, 0.77500    , 0.18885                                  
   3,   1,   5, 0.75702    ,  0.0000                                  
   3,   1,   6, 0.77500    , 0.34360                                  
   3,   1,   7, 0.77500    , 0.13231                                  
   3,   1,   8, 0.77500    , 0.46500                                  
   3,   1,   9, 0.77500    , 0.40257                                  
   3,   1,  10, 0.77500    , 0.16765                                  
   3,   1,  11, 0.77500    , 0.36332                                  
   3,   1,  12, 0.77500    , 0.22940E-02                              
   3,   1,  13, 0.77500    , 0.43605                                  
   3,   1,  14, 0.77500    , 0.38397                                  
   3,   1,  15, 0.77500    , 0.39327                                  
   3,   1,  16, 0.77500    , 0.27627                                  
   3,   1,  17, 0.77500    , 0.31961                                  
   3,   1,  18, 0.77500    , 0.42730                                  
   3,   1,  19, 0.76353    ,  0.0000                                  
   3,   1,  20, 0.77500    , 0.40833                                  
   3,   1,  21, 0.77500    , 0.32333                                  
   3,   1,  22, 0.75590    ,  0.0000                                  
   3,   1,  23, 0.77500    , 0.40629                                  
   3,   1,  24, 0.77500    , 0.40350                                  
   4,   1,   1, 0.73152    ,  0.0000                                  
   4,   1,   2, 0.75000    , 0.45000                                  
   4,   1,   3, 0.75000    , 0.31290                                  
   4,   1,   4, 0.75000    , 0.18276                                  
   4,   1,   5, 0.75000    , 0.38058                                  
   4,   1,   6, 0.75000    , 0.45780E-01                              
   4,   1,   7, 0.75000    , 0.27240                                  
   4,   1,   8, 0.75000    , 0.42198                                  
   4,   1,   9, 0.75000    , 0.12804                                  
   4,   1,  10, 0.75000    , 0.40272                                  
   4,   1,  11, 0.75000    , 0.33252                                  
   4,   1,  12, 0.75000    , 0.22200E-02                              
   4,   1,  13, 0.75000    , 0.16224                                  
   4,   1,  14, 0.73890    ,  0.0000                                  
   4,   1,  15, 0.75000    , 0.39516                                  
   4,   1,  16, 0.75000    , 0.37158                                  
   4,   1,  17, 0.75000    , 0.35160                                  
   4,   1,  18, 0.75000    , 0.39318                                  
   4,   1,  19, 0.75000    , 0.26736                                  
   4,   1,  20, 0.75000    , 0.39048                                  
   4,   1,  21, 0.75000    , 0.41352                                  
   4,   1,  22, 0.75000    , 0.30930                                  
   4,   1,  23, 0.73260    ,  0.0000                                  
   4,   1,  24, 0.75000    , 0.38958                                  
   5,   1,   1, 0.77500    , 0.41614                                  
   5,   1,   2, 0.77500    , 0.47306E-01                              
   5,   1,   3, 0.77500    , 0.28148                                  
   5,   1,   4, 0.77500    , 0.18885                                  
   5,   1,   5, 0.75702    ,  0.0000                                  
   5,   1,   6, 0.77500    , 0.34360                                  
   5,   1,   7, 0.77500    , 0.13231                                  
   5,   1,   8, 0.77500    , 0.46500                                  
   5,   1,   9, 0.77500    , 0.40257                                  
   5,   1,  10, 0.77500    , 0.16765                                  
   5,   1,  11, 0.77500    , 0.36332                                  
   5,   1,  12, 0.77500    , 0.22940E-02                              
   5,   1,  13, 0.77500    , 0.43605                                  
   5,   1,  14, 0.77500    , 0.38397                                  
   5,   1,  15, 0.77500    , 0.39327                                  
   5,   1,  16, 0.77500    , 0.27627                                  
   5,   1,  17, 0.77500    , 0.31961                                  
   5,   1,  18, 0.77500    , 0.42730                                  
   5,   1,  19, 0.76353    ,  0.0000                                  
   5,   1,  20, 0.77500    , 0.40833                                  
   5,   1,  21, 0.77500    , 0.32333                                  
   5,   1,  22, 0.75590    ,  0.0000                                  
   5,   1,  23, 0.77500    , 0.40629                                  
   5,   1,  24, 0.77500    , 0.40350                                  
   6,   1,   1, 0.73152    ,  0.0000                                  
   6,   1,   2, 0.75000    , 0.45000                                  
   6,   1,   3, 0.75000    , 0.31290                                  
   6,   1,   4, 0.75000    , 0.18276                                  
   6,   1,   5, 0.75000    , 0.38058                                  
   6,   1,   6, 0.75000    , 0.45780E-01                              
   6,   1,   7, 0.75000    , 0.27240                                  
   6,   1,   8, 0.75000    , 0.42198                                  
   6,   1,   9, 0.75000    , 0.12804                                  
   6,   1,  10, 0.75000    , 0.40272                                  
   6,   1,  11, 0.75000    , 0.33252                                  
   6,   1,  12, 0.75000    , 0.22200E-02                              
   6,   1,  13, 0.75000    , 0.16224                                  
   6,   1,  14, 0.73890    ,  0.0000                                  
   6,   1,  15, 0.75000    , 0.39516                                  
   6,   1,  16, 0.75000    , 0.37158                                  
   6,   1,  17, 0.75000    , 0.35160                                  
   6,   1,  18, 0.75000    , 0.39318                                  
   6,   1,  19, 0.75000    , 0.26736                                  
   6,   1,  20, 0.75000    , 0.39048                                  
   6,   1,  21, 0.75000    , 0.41352                                  
   6,   1,  22, 0.75000    , 0.30930                                  
   6,   1,  23, 0.73260    ,  0.0000                                  
   6,   1,  24, 0.75000    , 0.38958                                  
   7,   1,   1, 0.77500    , 0.41614                                  
   7,   1,   2, 0.77500    , 0.47306E-01                              
   7,   1,   3, 0.77500    , 0.28148                                  
   7,   1,   4, 0.77500    , 0.18885                                  
   7,   1,   5, 0.75702    ,  0.0000                                  
   7,   1,   6, 0.77500    , 0.34360                                  
   7,   1,   7, 0.77500    , 0.13231                                  
   7,   1,   8, 0.77500    , 0.46500                                  
   7,   1,   9, 0.77500    , 0.40257                                  
   7,   1,  10, 0.77500    , 0.16765                                  
   7,   1,  11, 0.77500    , 0.36332                                  
   7,   1,  12, 0.77500    , 0.22940E-02                              
   7,   1,  13, 0.77500    , 0.43605                                  
   7,   1,  14, 0.77500    , 0.38397                                  
   7,   1,  15, 0.77500    , 0.39327                                  
   7,   1,  16, 0.77500    , 0.27627                                  
   7,   1,  17, 0.77500    , 0.31961                                  
   7,   1,  18, 0.77500    , 0.42730                                  
   7,   1,  19, 0.76353    ,  0.0000                                  
   7,   1,  20, 0.77500    , 0.40833                                  
   7,   1,  21, 0.77500    , 0.32333                                  
   7,   1,  22, 0.75590    ,  0.0000                                  
   7,   1,  23, 0.77500    , 0.40629                                  
   7,   1,  24, 0.77500    , 0.40350                                  
   8,   1,   1, 0.77500    , 0.41614                                  
   8,   1,   2, 0.77500    , 0.47306E-01                              
   8,   1,   3, 0.77500    , 0.28148                                  
   8,   1,   4, 0.77500    , 0.18885                                  
   8,   1,   5, 0.75702    ,  0.0000                                  
   8,   1,   6, 0.77500    , 0.34360                                  
   8,   1,   7, 0.77500    , 0.13231                                  
   8,   1,   8, 0.77500    , 0.46500                                  
   8,   1,   9, 0.77500    , 0.40257                                  
   8,   1,  10, 0.77500    , 0.16765                                  
   8,   1,  11, 0.77500    , 0.36332                                  
   8,   1,  12, 0.77500    , 0.22940E-02                              
   8,   1,  13, 0.77500    , 0.43605                                  
   8,   1,  14, 0.77500    , 0.38397                                  
   8,   1,  15, 0.77500    , 0.39327                                  
   8,   1,  16, 0.77500    , 0.27627                                  
   8,   1,  17, 0.77500    , 0.31961                                  
   8,   1,  18, 0.77500    , 0.42730                                  
   8,   1,  19, 0.76353    ,  0.0000                                  
   8,   1,  20, 0.77500    , 0.40833                                  
   8,   1,  21, 0.77500    , 0.32333                                  
   8,   1,  22, 0.75590    ,  0.0000                                  
   8,   1,  23, 0.77500    , 0.40629                                  
   8,   1,  24, 0.77500    , 0.40350                                  
   9,   1,   1, 0.73152    ,  0.0000                                  
   9,   1,   2, 0.75000    , 0.45000                                  
   9,   1,   3, 0.75000    , 0.31290                                  
   9,   1,   4, 0.75000    , 0.18276                                  
   9,   1,   5, 0.75000    , 0.38058                                  
   9,   1,   6, 0.75000    , 0.45780E-01                              
   9,   1,   7, 0.75000    , 0.27240                                  
   9,   1,   8, 0.75000    , 0.42198                                  
   9,   1,   9, 0.75000    , 0.12804                                  
   9,   1,  10, 0.75000    , 0.40272                                  
   9,   1,  11, 0.75000    , 0.33252                                  
   9,   1,  12, 0.75000    , 0.22200E-02                              
   9,   1,  13, 0.75000    , 0.16224                                  
   9,   1,  14, 0.73890    ,  0.0000                                  
   9,   1,  15, 0.75000    , 0.39516                                  
   9,   1,  16, 0.75000    , 0.37158                                  
   9,   1,  17, 0.75000    , 0.35160                                  
   9,   1,  18, 0.75000    , 0.39318                                  
   9,   1,  19, 0.75000    , 0.26736                                  
   9,   1,  20, 0.75000    , 0.39048                                  
   9,   1,  21, 0.75000    , 0.41352                                  
   9,   1,  22, 0.75000    , 0.30930                                  
   9,   1,  23, 0.73260    ,  0.0000                                  
   9,   1,  24, 0.75000    , 0.38958                                  
  10,   1,   1, 0.77500    , 0.41614                                  
  10,   1,   2, 0.77500    , 0.47306E-01                              
  10,   1,   3, 0.77500    , 0.28148                                  
  10,   1,   4, 0.77500    , 0.18885                                  
  10,   1,   5, 0.75702    ,  0.0000                                  
  10,   1,   6, 0.77500    , 0.34360                                  
  10,   1,   7, 0.77500    , 0.13231                                  
  10,   1,   8, 0.77500    , 0.46500                                  
  10,   1,   9, 0.77500    , 0.40257                                  
  10,   1,  10, 0.77500    , 0.16765                                  
  10,   1,  11, 0.77500    , 0.36332                                  
  10,   1,  12, 0.77500    , 0.22940E-02                              
  10,   1,  13, 0.77500    , 0.43605                                  
  10,   1,  14, 0.77500    , 0.38397                                  
  10,   1,  15, 0.77500    , 0.39327                                  
  10,   1,  16, 0.77500    , 0.27627                                  
  10,   1,  17, 0.77500    , 0.31961                                  
  10,   1,  18, 0.77500    , 0.42730                                  
  10,   1,  19, 0.76353    ,  0.0000                                  
  10,   1,  20, 0.77500    , 0.40833                                  
  10,   1,  21, 0.77500    , 0.32333                                  
  10,   1,  22, 0.75590    ,  0.0000                                  
  10,   1,  23, 0.77500    , 0.40629                                  
  10,   1,  24, 0.77500    , 0.40350                                  
  11,   1,   1, 0.73152    ,  0.0000                                  
  11,   1,   2, 0.75000    , 0.45000                                  
  11,   1,   3, 0.75000    , 0.31290                                  
  11,   1,   4, 0.75000    , 0.18276                                  
  11,   1,   5, 0.75000    , 0.38058                                  
  11,   1,   6, 0.75000    , 0.45780E-01                              
  11,   1,   7, 0.75000    , 0.27240                                  
  11,   1,   8, 0.75000    , 0.42198                                  
  11,   1,   9, 0.75000    , 0.12804                                  
  11,   1,  10, 0.75000    , 0.40272                                  
  11,   1,  11, 0.75000    , 0.33252                                  
  11,   1,  12, 0.75000    , 0.22200E-02                              
  11,   1,  13, 0.75000    , 0.16224                                  
  11,   1,  14, 0.73890    ,  0.0000                                  
  11,   1,  15, 0.75000    , 0.39516                                  
  11,   1,  16, 0.75000    , 0.37158                                  
  11,   1,  17, 0.75000    , 0.35160                                  
  11,   1,  18, 0.75000    , 0.39318                                  
  11,   1,  19, 0.75000    , 0.26736                                  
  11,   1,  20, 0.75000    , 0.39048                                  
  11,   1,  21, 0.75000    , 0.41352                                  
  11,   1,  22, 0.75000    , 0.30930                                  
  11,   1,  23, 0.73260    ,  0.0000                                  
  11,   1,  24, 0.75000    , 0.38958                                  
  12,   1,   1, 0.77500    , 0.41614                                  
  12,   1,   2, 0.77500    , 0.47306E-01                              
  12,   1,   3, 0.77500    , 0.28148                                  
  12,   1,   4, 0.77500    , 0.18885                                  
  12,   1,   5, 0.75702    ,  0.0000                                  
  12,   1,   6, 0.77500    , 0.34360                                  
  12,   1,   7, 0.77500    , 0.13231                                  
  12,   1,   8, 0.77500    , 0.46500                                  
  12,   1,   9, 0.77500    , 0.40257                                  
  12,   1,  10, 0.77500    , 0.16765                                  
  12,   1,  11, 0.77500    , 0.36332                                  
  12,   1,  12, 0.77500    , 0.22940E-02                              
  12,   1,  13, 0.77500    , 0.43605                                  
  12,   1,  14, 0.77500    , 0.38397                                  
  12,   1,  15, 0.77500    , 0.39327                                  
  12,   1,  16, 0.77500    , 0.27627                                  
  12,   1,  17, 0.77500    , 0.31961                                  
  12,   1,  18, 0.77500    , 0.42730                                  
  12,   1,  19, 0.76353    ,  0.0000                                  
  12,   1,  20, 0.77500    , 0.40833                                  
  12,   1,  21, 0.77500    , 0.32333                                  
  12,   1,  22, 0.75590    ,  0.0000                                  
  12,   1,  23, 0.77500    , 0.40629                                  
  12,   1,  24, 0.77500    , 0.40350                                  
