Varies per block?       ,    1,Unit    ,k$     ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,S1                                                     
   1,   1,   1,  248.93                                               
   1,   1,   2,  0.0000                                               
   1,   1,   3,  80.600                                               
   1,   1,   4,  0.0000                                               
   1,   1,   5,  0.0000                                               
   1,   1,   6,  158.25                                               
   1,   1,   7,  0.0000                                               
   1,   1,   8,  311.94                                               
   1,   1,   9,  231.96                                               
   1,   1,  10,  0.0000                                               
   1,   1,  11,  182.90                                               
   1,   1,  12,  0.0000                                               
   1,   1,  13,  273.81                                               
   1,   1,  14,  208.71                                               
   1,   1,  15,  220.33                                               
   1,   1,  16,  74.090                                               
   1,   1,  17,  128.26                                               
   1,   1,  18,  262.88                                               
   1,   1,  19,  0.0000                                               
   1,   1,  20,  239.16                                               
   1,   1,  21,  132.91                                               
   1,   1,  22,  0.0000                                               
   1,   1,  23,  236.61                                               
   1,   1,  24,  233.12                                               
   2,   1,   1,  0.0000                                               
   2,   1,   2,  188.51                                               
   2,   1,   3,  0.0000                                               
   2,   1,   4,  210.56                                               
   2,   1,   5,  120.05                                               
   2,   1,   6,  0.0000                                               
   2,   1,   7,  247.31                                               
   2,   1,   8,  72.800                                               
   2,   1,   9,  0.0000                                               
   2,   1,  10,  142.94                                               
   2,   1,  11,  0.0000                                               
   2,   1,  12,  224.84                                               
   2,   1,  13,  281.75                                               
   2,   1,  14,  0.0000                                               
   2,   1,  15,  199.01                                               
   2,   1,  16,  165.20                                               
   2,   1,  17,  237.44                                               
   2,   1,  18,  0.0000                                               
   2,   1,  19,  115.85                                               
   2,   1,  20,  213.71                                               
   2,   1,  21,  66.920                                               
   2,   1,  22,  216.02                                               
   2,   1,  23,  0.0000                                               
   2,   1,  24,  209.51                                               
   3,   1,   1,  248.93                                               
   3,   1,   2,  0.0000                                               
   3,   1,   3,  80.600                                               
   3,   1,   4,  0.0000                                               
   3,   1,   5,  0.0000                                               
   3,   1,   6,  158.25                                               
   3,   1,   7,  0.0000                                               
   3,   1,   8,  311.94                                               
   3,   1,   9,  231.96                                               
   3,   1,  10,  0.0000                                               
   3,   1,  11,  182.90                                               
   3,   1,  12,  0.0000                                               
   3,   1,  13,  273.81                                               
   3,   1,  14,  208.71                                               
   3,   1,  15,  220.33                                               
   3,   1,  16,  74.090                                               
   3,   1,  17,  128.26                                               
   3,   1,  18,  262.88                                               
   3,   1,  19,  0.0000                                               
   3,   1,  20,  239.16                                               
   3,   1,  21,  132.91                                               
   3,   1,  22,  0.0000                                               
   3,   1,  23,  236.61                                               
   3,   1,  24,  233.12                                               
   4,   1,   1,  0.0000                                               
   4,   1,   2,  301.88                                               
   4,   1,   3,  128.62                                               
   4,   1,   4,  0.0000                                               
   4,   1,   5,  213.23                                               
   4,   1,   6,  0.0000                                               
   4,   1,   7,  78.000                                               
   4,   1,   8,  264.98                                               
   4,   1,   9,  0.0000                                               
   4,   1,  10,  240.90                                               
   4,   1,  11,  153.15                                               
   4,   1,  12,  0.0000                                               
   4,   1,  13,  0.0000                                               
   4,   1,  14,  0.0000                                               
   4,   1,  15,  231.45                                               
   4,   1,  16,  201.98                                               
   4,   1,  17,  177.00                                               
   4,   1,  18,  228.97                                               
   4,   1,  19,  71.700                                               
   4,   1,  20,  225.60                                               
   4,   1,  21,  254.40                                               
   4,   1,  22,  124.12                                               
   4,   1,  23,  0.0000                                               
   4,   1,  24,  224.48                                               
   5,   1,   1,  248.93                                               
   5,   1,   2,  0.0000                                               
   5,   1,   3,  80.600                                               
   5,   1,   4,  0.0000                                               
   5,   1,   5,  0.0000                                               
   5,   1,   6,  158.25                                               
   5,   1,   7,  0.0000                                               
   5,   1,   8,  311.94                                               
   5,   1,   9,  231.96                                               
   5,   1,  10,  0.0000                                               
   5,   1,  11,  182.90                                               
   5,   1,  12,  0.0000                                               
   5,   1,  13,  273.81                                               
