Varies per block?       ,    1,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,S1                                                     
   1,   1,   1,  1.4889                                               
   1,   1,   2,  1.0279                                               
   1,   1,   3,  1.3206                                               
   1,   1,   4,  1.2048                                               
   1,   1,   5, 0.94627                                               
   1,   1,   6,  1.3983                                               
   1,   1,   7,  1.1341                                               
   1,   1,   8,  1.5519                                               
   1,   1,   9,  1.4720                                               
   1,   1,  10,  1.1783                                               
   1,   1,  11,  1.4229                                               
   1,   1,  12, 0.97162                                               
   1,   1,  13,  1.5138                                               
   1,   1,  14,  1.4487                                               
   1,   1,  15,  1.4603                                               
   1,   1,  16,  1.3141                                               
   1,   1,  17,  1.3683                                               
   1,   1,  18,  1.5029                                               
   1,   1,  19, 0.95441                                               
   1,   1,  20,  1.4792                                               
   1,   1,  21,  1.3729                                               
   1,   1,  22, 0.94488                                               
   1,   1,  23,  1.4766                                               
   1,   1,  24,  1.4731                                               
   2,   1,   1, 0.87759                                               
   2,   1,   2,  1.3085                                               
   2,   1,   3,  1.0244                                               
   2,   1,   4,  1.3306                                               
   2,   1,   5,  1.2400                                               
   2,   1,   6, 0.92841                                               
   2,   1,   7,  1.3673                                               
   2,   1,   8,  1.1928                                               
   2,   1,   9, 0.85470                                               
   2,   1,  10,  1.2629                                               
   2,   1,  11,  1.0882                                               
   2,   1,  12,  1.3448                                               
   2,   1,  13,  1.4017                                               
   2,   1,  14,  1.0643                                               
   2,   1,  15,  1.3190                                               
   2,   1,  16,  1.2852                                               
   2,   1,  17,  1.3574                                               
   2,   1,  18, 0.86205                                               
   2,   1,  19,  1.2358                                               
   2,   1,  20,  1.3337                                               
   2,   1,  21,  1.1869                                               
   2,   1,  22,  1.3360                                               
   2,   1,  23, 0.85344                                               
   2,   1,  24,  1.3295                                               
   3,   1,   1,  1.4889                                               
   3,   1,   2,  1.0279                                               
   3,   1,   3,  1.3206                                               
   3,   1,   4,  1.2048                                               
   3,   1,   5, 0.94627                                               
   3,   1,   6,  1.3983                                               
   3,   1,   7,  1.1341                                               
   3,   1,   8,  1.5519                                               
   3,   1,   9,  1.4720                                               
   3,   1,  10,  1.1783                                               
   3,   1,  11,  1.4229                                               
   3,   1,  12, 0.97162                                               
   3,   1,  13,  1.5138                                               
   3,   1,  14,  1.4487                                               
   3,   1,  15,  1.4603                                               
   3,   1,  16,  1.3141                                               
   3,   1,  17,  1.3683                                               
   3,   1,  18,  1.5029                                               
   3,   1,  19, 0.95441                                               
   3,   1,  20,  1.4792                                               
   3,   1,  21,  1.3729                                               
   3,   1,  22, 0.94488                                               
   3,   1,  23,  1.4766                                               
   3,   1,  24,  1.4731                                               
   4,   1,   1, 0.91440                                               
   4,   1,   2,  1.5019                                               
   4,   1,   3,  1.3286                                               
   4,   1,   4,  1.1659                                               
   4,   1,   5,  1.4132                                               
   4,   1,   6, 0.99472                                               
   4,   1,   7,  1.2780                                               
   4,   1,   8,  1.4650                                               
   4,   1,   9,  1.0975                                               
   4,   1,  10,  1.4409                                               
   4,   1,  11,  1.3532                                               
   4,   1,  12, 0.94028                                               
   4,   1,  13,  1.1403                                               
   4,   1,  14, 0.92362                                               
   4,   1,  15,  1.4315                                               
   4,   1,  16,  1.4020                                               
   4,   1,  17,  1.3770                                               
   4,   1,  18,  1.4290                                               
   4,   1,  19,  1.2717                                               
   4,   1,  20,  1.4256                                               
   4,   1,  21,  1.4544                                               
   4,   1,  22,  1.3241                                               
   4,   1,  23, 0.91575                                               
   4,   1,  24,  1.4245                                               
   5,   1,   1,  1.4889                                               
   5,   1,   2,  1.0279                                               
   5,   1,   3,  1.3206                                               
   5,   1,   4,  1.2048                                               
   5,   1,   5, 0.94627                                               
   5,   1,   6,  1.3983                                               
   5,   1,   7,  1.1341                                               
   5,   1,   8,  1.5519                                               
   5,   1,   9,  1.4720                                               
   5,   1,  10,  1.1783                                               
   5,   1,  11,  1.4229                                               
   5,   1,  12, 0.97162                                               
   5,   1,  13,  1.5138                                               
   5,   1,  14,  1.4487                                               
   5,   1,  15,  1.4603                                               
   5,   1,  16,  1.3141                                               
   5,   1,  17,  1.3683                                               
   5,   1,  18,  1.5029                                               
