Varies per block?       ,    0,Unit    ,k$     ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,Cost: Total operating,Cost: Energy deficit             
   1,   1,   1,               264.03,               3224.5            
   2,   1,   1,               238.48,               2912.4            
   3,   1,   1,               264.03,               3224.5            
   4,   1,   1,               255.51,               3120.4            
   5,   1,   1,               264.03,               3224.5            
   6,   1,   1,               255.51,               3120.4            
   7,   1,   1,               264.03,               3224.5            
   8,   1,   1,               264.03,               3224.5            
   9,   1,   1,               255.51,               3120.4            
  10,   1,   1,               264.03,               3224.5            
  11,   1,   1,               255.51,               3120.4            
  12,   1,   1,               264.03,               3224.5            
