Varies per block?       ,    0,Unit    ,k$     ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    3                                        
Stag,Seq.,Blck,P10         ,Average     ,P90                          
   1,   1,   1,     3488.53,     3488.53,     3488.53                 
   2,   1,   1,     3150.88,     3150.88,     3150.88                 
   3,   1,   1,     3488.53,     3488.53,     3488.53                 
   4,   1,   1,     3375.91,     3375.91,     3375.91                 
   5,   1,   1,     3488.53,     3488.53,     3488.53                 
   6,   1,   1,     3375.91,     3375.91,     3375.91                 
   7,   1,   1,     3488.53,     3488.53,     3488.53                 
   8,   1,   1,     3488.53,     3488.53,     3488.53                 
   9,   1,   1,     3375.91,     3375.91,     3375.91                 
  10,   1,   1,     3488.53,     3488.53,     3488.53                 
  11,   1,   1,     3375.91,     3375.91,     3375.91                 
  12,   1,   1,     3488.53,     3488.53,     3488.53                 
