 Generation (GWh) - S1          
                                                                                                                                                      
 Year,Plant,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total

2016,Fuel1       ,   18.6,   16.8,   18.6,    18.,   18.6,    18.,   18.6,   18.6,    18.,   18.6,    18.,   18.6,      219.
    ,Fuel2       ,9.60232,8.67307,9.60232,9.29257,9.60232,9.29257,9.60232,9.60232,9.29257,9.60232,9.29257,9.60232,  113.0596                                                                                                                                                      

    ,Total Hydro ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Therm ,28.2023,25.4731,28.2023,27.2926,28.2023,27.2926,28.2023,28.2023,27.2926,28.2023,27.2926,28.2023,  332.0596
    ,Total Renew ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Batt. ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Inject,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Gener ,28.2023,25.4731,28.2023,27.2926,28.2023,27.2926,28.2023,28.2023,27.2926,28.2023,27.2926,28.2023,  332.0596
    ,Excess Gener,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Imports     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Exports     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Losses      ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Load        ,31.4268,28.3852,31.4268,30.4131,31.4268,30.4131,31.4268,31.4268,30.4131,31.4268,30.4131,31.4268,  370.0249
    ,Spot Market ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Deficit     ,3.22446,2.91242,3.22446,3.12045,3.22446,3.12045,3.22446,3.22446,3.12045,3.22446,3.12045,3.22446,  37.96544                                                                                                                                                      
